Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
33,2015,15196,Aga Ø,,,,Ja,Nei,1219,BØMLO,12,Hordaland,59.8451,5.261367,0.5,,,3,Karmøy til Sotra
33,2015,12067,Aldalen,0.03,0.03,0.03,Nei,Ja,1243,OS I HORDALAND,12,Hordaland,60.24995,5.571917,0.5,Nei,1,3,Karmøy til Sotra
33,2015,12982,Aldeøyna,0,0.4,0,Nei,Ja,1428,ASKVOLL,14,Sogn og Fjordane,61.31025,4.76905,0.5,Nei,14.1,4,Nordhordaland til Stadt
33,2015,11756,Allersholmen,0.32,0.4,0,Nei,Ja,1264,AUSTRHEIM,12,Hordaland,60.77465,4.8536,0.5,Nei,13.7,4,Nordhordaland til Stadt
33,2015,13271,Almurden,,,,Ja,Nei,1749,FLATANGER,17,Nord-Trøndelag,64.433235,10.68095,0.5,,,7,Nord-Trøndelag med Bindal
33,2015,11416,Alsvåg,,,,Ja,Nei,1868,ØKSNES,18,Nordland,68.9027,15.28675,0.5,,,9,Vestfjorden og Vesterålen
33,2015,12086,Alsåkervik,0.08,0.13,0.05,Nei,Ja,1224,KVINNHERAD,12,Hordaland,59.7601,6.074183,0.5,Nei,13.91,3,Karmøy til Sotra
33,2015,13227,Altaneset,0,0,0,Nei,Ja,1241,FUSA,12,Hordaland,60.247116,5.63475,0.5,Nei,15.2,3,Karmøy til Sotra
33,2015,11179,Alterosen,0,0,0,Nei,Ja,1865,VÅGAN,18,Nordland,68.20737,14.446867,0.5,Nei,12.8,9,Vestfjorden og Vesterålen
33,2015,11513,Andal,0.17,0.17,0.03,Nei,Ja,1219,BØMLO,12,Hordaland,59.6365,5.247133,0.5,Nei,15.1,3,Karmøy til Sotra
33,2015,32277,Andholmen 1,0.41,0.87,0,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.469784,7.8556,0.5,Nei,13.7,6,Nordmøre og Sør-Trøndelag
33,2015,32297,Andholmen 2,0.18,0.52,0,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.46745,7.847167,0.5,Nei,13.7,6,Nordmøre og Sør-Trøndelag
33,2015,33257,Andreggrunnen,,,,Ja,Nei,1141,FINNØY,11,Rogaland,59.238884,5.740617,0.5,,,2,Ryfylke
33,2015,30156,Anevik,0.02,0.14,0,Nei,Ja,1848,STEIGEN,18,Nordland,68.00592,15.264333,0.5,Nei,13,9,Vestfjorden og Vesterålen
33,2015,13563,Angelskår,,,,Ja,Nei,1253,OSTERØY,12,Hordaland,60.525784,5.357133,0.5,,,4,Nordhordaland til Stadt
33,2015,13518,Angstauren,,,,Ja,Nei,1902,TROMSØ,19,Troms,69.695335,18.170267,0.5,,,11,Kvaløya til Loppa
33,2015,29816,Apalvikneset,0.32,0.55,0.09,Nei,Ja,1227,JONDAL,12,Hordaland,60.145584,6.120467,0.5,Nei,14.51,3,Karmøy til Sotra
33,2015,12085,Aplavika,0,0,0,Nei,Ja,1238,KVAM,12,Hordaland,60.25865,6.055333,0.5,Nei,14.3,3,Karmøy til Sotra
33,2015,11119,Arnøysundet,,,,Ja,Nei,1838,GILDESKÅL,18,Nordland,67.14978,13.991,0.5,,,8,Helgeland til Bodø
33,2015,10960,Aspviksundet,,,,Ja,Nei,1820,ALSTAHAUG,18,Nordland,65.86287,12.624533,0.5,,,8,Helgeland til Bodø
33,2015,12668,Astridholmen,,,,Ja,Nei,1751,NÆRØY,17,Nord-Trøndelag,64.80798,11.542583,0.5,,,7,Nord-Trøndelag med Bindal
33,2015,20496,Atlatveit,,,,Ja,Nei,1141,FINNØY,11,Rogaland,59.227734,5.984233,0.5,,,2,Ryfylke
33,2015,14016,Auenes,0,0,0,Nei,Ja,0926,LILLESAND,09,Aust-Agder,58.140266,8.2553,0.5,Nei,17.1,1,Svenskegrensen til Jæren
33,2015,13254,Aukan,0,0.27,0.4,Nei,Ja,1554,AVERØY,15,Møre og Romsdal,63.0603,7.594283,0.5,Nei,13.5,6,Nordmøre og Sør-Trøndelag
33,2015,32077,Aukan,,,,Ja,Nei,1576,AURE,15,Møre og Romsdal,63.162266,8.309633,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2015,12988,Aukrasanden,,,,Nei,Nei,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,0.5,,14,5,Stadt til Hustadvika
33,2015,10870,Aunholmen Ø,,,,Ja,Nei,1816,VEVELSTAD,18,Nordland,65.7061,12.622733,0.5,,,8,Helgeland til Bodø
33,2015,12357,Aursøysva,,,,Ja,Nei,1620,FRØYA,16,Sør-Trøndelag,63.80015,8.906083,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2015,10275,Auskarnes Ø,0.39,1.41,0.32,Nei,Ja,2014,LOPPA,20,Finnmark,70.14145,22.3542,0.5,Nei,10.3,12,Vest-Finnmark
33,2015,11800,Austneståa,,,,Ja,Nei,1401,FLORA,14,Sogn og Fjordane,61.49072,5.169133,0.5,,,4,Nordhordaland til Stadt
33,2015,26795,Austvika,,,,Ja,Nei,1749,FLATANGER,17,Nord-Trøndelag,64.41853,10.696033,0.5,,,7,Nord-Trøndelag med Bindal
33,2015,13572,Badstuvika,0.01,0.35,0.09,Nei,Ja,1617,HITRA,16,Sør-Trøndelag,63.53398,9.1469,0.5,Nei,13,6,Nordmøre og Sør-Trøndelag
33,2015,13341,Bakjestranda,,,,Ja,Nei,1438,BREMANGER,14,Sogn og Fjordane,61.820415,4.937017,0.5,,,4,Nordhordaland til Stadt
33,2015,19395,Bakka,,,,Ja,Nei,1238,KVAM,12,Hordaland,60.23498,6.006217,0.5,,,3,Karmøy til Sotra
33,2015,32537,Baltsfjord,0,0,0,Nei,Ja,1931,LENVIK,19,Troms,69.5463,17.7697,0.5,Nei,10.9,10,Andøya til Senja
33,2015,13305,Barbogen,,,,Ja,Nei,1928,TORSKEN,19,Troms,69.36843,17.0281,0.5,,,10,Andøya til Senja
33,2015,13873,Barlingebotten,0.03,0.03,0,Nei,Ja,1266,MASFJORDEN,12,Hordaland,60.863083,5.364017,0.5,Nei,13.1,4,Nordhordaland til Stadt
33,2015,31877,Barøya,,,,Ja,Nei,1703,NAMSOS,17,Nord-Trøndelag,64.6206,11.233183,0.5,,,7,Nord-Trøndelag med Bindal
33,2015,18235,Bastli,0,0.44,0.66,Nei,Ja,1133,HJELMELAND,11,Rogaland,59.2694,6.193083,0.5,Nei,15.44,2,Ryfylke
33,2015,13845,Beitveit,0.45,1.34,0.15,Nei,Ja,1441,SELJE,14,Sogn og Fjordane,62.141216,5.32675,0.5,Nei,13.47,5,Stadt til Hustadvika
33,2015,25055,Bekksneset,,,,Ja,Nei,1413,HYLLESTAD,14,Sogn og Fjordane,61.07662,5.38595,0.5,,,4,Nordhordaland til Stadt
33,2015,12095,Bergadalen,0.01,0.02,0.01,Nei,Ja,1238,KVAM,12,Hordaland,60.1216,5.908883,0.5,Nei,14.2,3,Karmøy til Sotra
33,2015,27295,Bergneset N,,,,Ja,Nei,1612,HEMNE,16,Sør-Trøndelag,63.324917,9.110467,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2015,20396,Bergsnes V,0,0.02,0,Nei,Ja,2012,ALTA,20,Finnmark,70.22971,23.336117,0.5,Nei,11.6,12,Vest-Finnmark
33,2015,13872,Bergsvik,0.52,0.42,0,Nei,Ja,1266,MASFJORDEN,12,Hordaland,60.86295,5.3474,0.5,Ja,13.4,4,Nordhordaland til Stadt
33,2015,30397,Bergsøy,,,,Ja,Nei,1848,STEIGEN,18,Nordland,67.89719,15.158883,0.5,,,9,Vestfjorden og Vesterålen
33,2015,11241,Bergvikodden,0.13,0.47,0,Nei,Ja,1866,HADSEL,18,Nordland,68.57475,14.850883,0.5,Nei,12.25,9,Vestfjorden og Vesterålen
33,2015,11930,Bjelkavik,0,0.02,0.18,Nei,Ja,1134,SULDAL,11,Rogaland,59.45165,5.991917,0.5,Nei,14,2,Ryfylke
33,2015,12178,Bjønnspjotneset,,,,Ja,Nei,1416,HØYANGER,14,Sogn og Fjordane,61.0985,5.825533,0.5,,,4,Nordhordaland til Stadt
33,2015,31738,Bjørga,,,,Ja,Nei,1925,SØRREISA,19,Troms,69.151436,17.9562,0.5,,,10,Andøya til Senja
33,2015,12625,Bjørgan,,,,Nei,Nei,1749,FLATANGER,17,Nord-Trøndelag,64.59268,10.908333,0.5,,,7,Nord-Trøndelag med Bindal
33,2015,31317,Bjørkvik,0.03,0.17,0.02,Nei,Ja,1850,TYSFJORD,18,Nordland,68.02925,16.131416,0.5,Nei,13.1,9,Vestfjorden og Vesterålen
33,2015,22455,Bjørlykkestranda,0,0.22,0.12,Nei,Ja,1511,VANYLVEN,15,Møre og Romsdal,62.16655,5.5954,0.5,Nei,13.81,5,Stadt til Hustadvika
33,2015,12308,Bjørndal,0.44,1.32,0.05,Nei,Ja,1520,ØRSTA,15,Møre og Romsdal,62.274883,6.00285,0.5,Nei,13.4,5,Stadt til Hustadvika
33,2015,23436,Bjørnholmen,,,,Ja,Nei,1412,SOLUND,14,Sogn og Fjordane,61.20635,4.938083,0.5,,,4,Nordhordaland til Stadt
33,2015,25975,Bjørnskjæret,,,,Ja,Nei,1755,LEKA,17,Nord-Trøndelag,65.038506,11.459672,0.5,,,7,Nord-Trøndelag med Bindal
33,2015,11340,Bjørnstein,0,0,0,Nei,Ja,1917,IBESTAD,19,Troms,68.892365,17.110233,0.5,Nei,13.5,10,Andøya til Senja
33,2015,11274,Bjørnsvik,0.1,0.05,0,Nei,Ja,1845,SØRFOLD,18,Nordland,67.533035,15.386383,0.5,Nei,12.35,9,Vestfjorden og Vesterålen
33,2015,34997,Bjørnøya,0,0,0,Nei,Ja,1804,BODØ,18,Nordland,67.41642,14.429667,0.5,Nei,12.4,9,Vestfjorden og Vesterålen
33,2015,32957,Bjørshammaren,,,,Ja,Nei,1822,LEIRFJORD,18,Nordland,66.14032,12.91035,0.5,,,8,Helgeland til Bodø
33,2015,12156,Blom,0,0,0,Nei,Ja,1253,OSTERØY,12,Hordaland,60.436584,5.564833,0.5,Nei,12.1,4,Nordhordaland til Stadt
33,2015,31857,Blomsøråsa,0.32,0.75,0.2,Nei,Ja,1820,ALSTAHAUG,18,Nordland,65.85637,12.311833,0.5,Nei,11.18,8,Helgeland til Bodø
33,2015,29458,Blåmannsvik,0,0.15,0,Nei,Ja,1902,TROMSØ,19,Troms,69.73064,18.653584,0.5,Nei,11,11,Kvaløya til Loppa
33,2015,19255,Blåsenborgneset,,,,Ja,Nei,2030,SØR-VARANGER,20,Finnmark,69.73305,30.1079,0.5,,,13,Øst-Finnmark
33,2015,11399,Bogelva,,,,Ja,Nei,1911,KVÆFJORD,19,Troms,68.6565,15.90035,0.5,,,10,Andøya til Senja
33,2015,10212,Bogen,0.15,0.62,0.17,Nei,Ja,1505,KRISTIANSUND,15,Møre og Romsdal,63.077667,7.90345,0.5,Nei,13.8,6,Nordmøre og Sør-Trøndelag
33,2015,12252,Bogen Md,,,,Ja,Nei,1545,MIDSUND,15,Møre og Romsdal,62.69082,6.868767,0.5,,,5,Stadt til Hustadvika
33,2015,13209,Bognøy,,,,Ja,Nei,1260,RADØY,12,Hordaland,60.60407,5.076983,0.5,,,4,Nordhordaland til Stadt
33,2015,13284,Bollhaugen,,,,Ja,Nei,1827,DØNNA,18,Nordland,66.11311,12.487683,0.5,,,8,Helgeland til Bodø
33,2015,13143,Bondejorda,0.01,0.01,0.01,Nei,Ja,2022,LEBESBY,20,Finnmark,70.81695,27.563717,0.5,Nei,10.6,12,Vest-Finnmark
33,2015,10256,Bondøya,0.01,0.16,0.05,Nei,Ja,1750,VIKNA,17,Nord-Trøndelag,64.81715,10.7425,0.5,Nei,13.6,7,Nord-Trøndelag med Bindal
33,2015,11248,Bonhammaren,0,0,0,Nei,Ja,1867,BØ I NORDLAND,18,Nordland,68.81738,14.7101,0.5,Nei,11.2,9,Vestfjorden og Vesterålen
33,2015,15796,Borgarliflot,0.05,0.03,0.12,Nei,Ja,1134,SULDAL,11,Rogaland,59.388035,5.929283,0.5,Nei,14.4,2,Ryfylke
33,2015,12040,Brandaskuta,0.19,0.19,0,Nei,Ja,1224,KVINNHERAD,12,Hordaland,59.975735,5.909183,0.5,Nei,14.9,3,Karmøy til Sotra
33,2015,34897,Brandsfjorden,0,0.05,0.02,Nei,Ja,1632,ROAN,16,Sør-Trøndelag,64.22307,10.279933,0.5,Nei,13.3,6,Nordmøre og Sør-Trøndelag
33,2015,11488,Brattavika,,,,Ja,Nei,1244,AUSTEVOLL,12,Hordaland,60.044117,5.303317,0.5,,,3,Karmøy til Sotra
33,2015,33137,Brattberg,,,,Ja,Nei,1919,GRATANGEN,19,Troms,68.7131,17.4296,0.5,,,10,Andøya til Senja
33,2015,11015,Brattholmen,0,0.04,0.03,Nei,Ja,1818,HERØY I NORDLAND,18,Nordland,65.90735,12.220967,0.5,Nei,11.82,8,Helgeland til Bodø
33,2015,13205,Brattholmen,0,0.03,0,Nei,Ja,1412,SOLUND,14,Sogn og Fjordane,61.068382,4.713817,0.5,Nei,13.2,4,Nordhordaland til Stadt
33,2015,11514,Brattholmen S,,,,Ja,Nei,1216,SVEIO,12,Hordaland,59.51832,5.244383,0.5,,,3,Karmøy til Sotra
33,2015,12594,Breidvika,,,,Ja,Nei,1633,OSEN,16,Sør-Trøndelag,64.295364,10.397483,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2015,11574,Breivik S,,,,Ja,Nei,1219,BØMLO,12,Hordaland,59.671185,5.31215,0.5,,,3,Karmøy til Sotra
33,2015,28336,Breivika,0.06,0.07,0,Nei,Ja,1827,DØNNA,18,Nordland,66.1609,12.681467,0.5,Nei,11.71,8,Helgeland til Bodø
33,2015,15621,Breivika,0.71,1.03,0,Nei,Ja,1836,RØDØY,18,Nordland,66.58036,13.015637,0.5,Ja,11.2,8,Helgeland til Bodø
33,2015,13765,Breivika,,,,Ja,Nei,1834,LURØY,18,Nordland,66.46167,12.956983,0.5,,,8,Helgeland til Bodø
33,2015,32897,Breivika Sør,0.07,0.08,0.01,Nei,Ja,1827,DØNNA,18,Nordland,66.1581,12.682017,0.5,Nei,11.89,8,Helgeland til Bodø
33,2015,33237,Breivoll,,,,Ja,Nei,1917,IBESTAD,19,Troms,68.758514,17.152582,0.5,,,10,Andøya til Senja
33,2015,10223,Bremnessvaet,0.5,1.31,0.19,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.39795,8.214317,0.5,Ja,12.58,6,Nordmøre og Sør-Trøndelag
33,2015,10674,Brennelvbukt,,,,Ja,Nei,2027,UNJARGGA-NESSEBY,20,Finnmark,70.01514,29.2673,0.5,,,13,Øst-Finnmark
33,2015,33637,Brennevinsgrunnen,,,,Ja,Nei,1141,FINNØY,11,Rogaland,59.1833,5.66115,0.5,,,2,Ryfylke
33,2015,34197,Brennholmen,0.26,2,0.2,Nei,Ja,1818,HERØY I NORDLAND,18,Nordland,65.978714,12.16355,0.5,Nei,12.5,8,Helgeland til Bodø
33,2015,12466,Brettingen,0.35,1.12,0.23,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.3582,8.237267,0.5,Nei,12.1,6,Nordmøre og Sør-Trøndelag
33,2015,13491,Bringberget,,,,Ja,Nei,1612,HEMNE,16,Sør-Trøndelag,63.355484,9.133583,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2015,12237,Brudevika,0.17,1.21,0.03,Nei,Ja,1511,VANYLVEN,15,Møre og Romsdal,62.116566,5.420717,0.5,Nei,13.91,5,Stadt til Hustadvika
33,2015,13841,Brunsvik,0,0,0,Nei,Ja,1439,VÅGSØY,14,Sogn og Fjordane,61.910183,5.29085,0.5,Nei,13.02,4,Nordhordaland til Stadt
33,2015,11435,Bryggelandsholmane,0,0,0,Nei,Ja,1106,HAUGESUND,11,Rogaland,59.429016,5.096417,0.5,Nei,14.1,3,Karmøy til Sotra
33,2015,31038,Buarøy,0,0.02,0.02,Nei,Ja,1245,SUND,12,Hordaland,60.220066,5.21455,0.5,Nei,14.2,3,Karmøy til Sotra
33,2015,33537,Buholmen,0,0.22,0.19,Nei,Ja,1632,ROAN,16,Sør-Trøndelag,64.1569,10.008917,0.5,Nei,12.9,6,Nordmøre og Sør-Trøndelag
33,2015,25655,Buholmen,,,,Ja,Nei,1160,VINDAFJORD,11,Rogaland,59.562416,5.55465,0.5,,,3,Karmøy til Sotra
33,2015,11543,Buholmen Ø,0.18,0.23,0.11,Nei,Ja,1244,AUSTEVOLL,12,Hordaland,60.020782,5.07965,0.5,Nei,16,3,Karmøy til Sotra
33,2015,13105,Bukalholmane Ø,,,,Ja,Nei,1818,HERØY I NORDLAND,18,Nordland,66.10757,12.177017,0.5,,,8,Helgeland til Bodø
33,2015,27976,Bukkholmen,,,,Ja,Nei,1820,ALSTAHAUG,18,Nordland,65.9184,12.244683,0.5,,,8,Helgeland til Bodø
33,2015,12361,Bukkholmen S,1.08,1.66,0.22,Nei,Ja,1620,FRØYA,16,Sør-Trøndelag,63.72368,8.8631,0.5,Ja,12.4,6,Nordmøre og Sør-Trøndelag
33,2015,11087,Bukkøya Ø,0,0.06,0,Nei,Ja,1836,RØDØY,18,Nordland,66.64097,12.994583,0.5,Nei,12,8,Helgeland til Bodø
33,2015,10995,Bukkøysundet,,,,Ja,Nei,1835,TRÆNA,18,Nordland,66.54743,12.242067,0.5,,,8,Helgeland til Bodø
33,2015,11857,Buksevika,0,0.04,0.03,Nei,Ja,1004,FLEKKEFJORD,10,Vest-Agder,58.2074,6.63505,0.5,Nei,15.89,1,Svenskegrensen til Jæren
33,2015,22035,Buktodden Nø,0.02,0.12,0.04,Nei,Ja,1833,RANA,18,Nordland,66.30838,13.4324,0.5,Nei,11.1,8,Helgeland til Bodø
33,2015,11162,Bullatholmen,,,,Ja,Nei,1866,HADSEL,18,Nordland,68.43512,14.848083,0.5,,,9,Vestfjorden og Vesterålen
33,2015,11204,Buviknakken,,,,Ja,Nei,1860,VESTVÅGØY,18,Nordland,68.08428,13.659167,0.5,,,9,Vestfjorden og Vesterålen
33,2015,12267,Byttingsneset,,,,Ja,Nei,1529,SKODJE,15,Møre og Romsdal,62.4437,6.566017,0.5,,,5,Stadt til Hustadvika
33,2015,12730,Båfjorden,,,,Ja,Nei,1751,NÆRØY,17,Nord-Trøndelag,64.94988,11.5733,0.5,,,7,Nord-Trøndelag med Bindal
33,2015,29016,Båfjordstranda,5.97,8.23,6.28,Nei,Ja,1751,NÆRØY,17,Nord-Trøndelag,64.96465,11.592733,0.5,Ja,13.3,7,Nord-Trøndelag med Bindal
33,2015,11749,Bårøy,0,0,0,Nei,Ja,1411,GULEN,14,Sogn og Fjordane,60.9452,4.84605,0.5,Nei,13.5,4,Nordhordaland til Stadt
33,2015,10862,Båsen,,,,Ja,Nei,1811,BINDAL,18,Nordland,65.11767,12.321467,0.5,,,7,Nord-Trøndelag med Bindal
33,2015,24915,Bøbukta,,,,Ja,Nei,1815,VEGA,18,Nordland,65.66164,12.083917,0.5,,,8,Helgeland til Bodø
33,2015,20876,Børøya,,,,Ja,Nei,1868,ØKSNES,18,Nordland,68.84438,14.854633,0.5,,,9,Vestfjorden og Vesterålen
