Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
33,2018,15196,Aga Ø,ikke-medikamentell,,,,,,deler av lokaliteten,1219,BØMLO,12,Hordaland,59.8451,5.261367,3,Karmøy til Sotra,
33,2018,10298,Ålforo,ikke-medikamentell,,,,,,hele lokaliteten,1222,FITJAR,12,Hordaland,59.8665,5.244133,3,Karmøy til Sotra,
33,2018,32017,Ånholmen,ikke-medikamentell,,,,,,deler av lokaliteten,5048,FOSNES,50,Trøndelag,64.7198,11.461683,7,Nord-Trøndelag med Bindal,
33,2018,11800,Austneståa,ikke-medikamentell,,,,,,deler av lokaliteten,1401,FLORA,14,Sogn og Fjordane,61.490818,5.171167,4,Nordhordaland til Stadt,
33,2018,13572,Badstuvika,ikke-medikamentell,,,,,,deler av lokaliteten,5013,HITRA,50,Trøndelag,63.53398,9.1469,6,Nordmøre og Sør-Trøndelag,
33,2018,37237,Børfjord,ikke-medikamentell,,,,,,deler av lokaliteten,2015,HASVIK,20,Finnmark,70.64533,22.694317,12,Vest-Finnmark,
33,2018,34897,Brandsfjorden,ikke-medikamentell,,,,,,deler av lokaliteten,5019,ROAN,50,Trøndelag,64.22307,10.279933,6,Nordmøre og Sør-Trøndelag,
33,2018,33537,Buholmen,ikke-medikamentell,,,,,,deler av lokaliteten,5019,ROAN,50,Trøndelag,64.1569,10.008917,6,Nordmøre og Sør-Trøndelag,
33,2018,11857,Buksevika,ikke-medikamentell,,,,,,deler av lokaliteten,1004,FLEKKEFJORD,10,Vest-Agder,58.2074,6.63505,1,Svenskegrensen til Jæren,
33,2018,32457,Dalsvåg Nv,ikke-medikamentell,,,,,,deler av lokaliteten,1149,KARMØY,11,Rogaland,59.410816,5.21725,3,Karmøy til Sotra,
