Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
33,2019,10331,Åkre,ikke-medikamentell,,,,,,deler av lokaliteten,1224,KVINNHERAD,12,Hordaland,60.112434,6.042483,3,Karmøy til Sotra,
33,2019,13254,Aukan,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1554,AVERØY,15,Møre og Romsdal,63.0603,7.594283,6,Nordmøre og Sør-Trøndelag,
33,2019,12357,Aursøysva,ikke-medikamentell,,,,,,deler av lokaliteten,5014,FRØYA,50,Trøndelag,63.801968,8.910767,6,Nordmøre og Sør-Trøndelag,
33,2019,10862,Båsen,ikke-medikamentell,,,,,,deler av lokaliteten,1811,BINDAL,18,Nordland,65.11767,12.321467,7,Nord-Trøndelag med Bindal,
33,2019,11340,Bjørnstein,ikke-medikamentell,,,,,,deler av lokaliteten,1917,IBESTAD,19,Troms,68.892365,17.110233,10,Andøya til Senja,
33,2019,10212,Bogen,ikke-medikamentell,,,,,,deler av lokaliteten,1505,KRISTIANSUND,15,Møre og Romsdal,63.076782,7.9046,6,Nordmøre og Sør-Trøndelag,
33,2019,11015,Brattholmen,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1818,HERØY I NORDLAND,18,Nordland,65.90735,12.220967,8,Helgeland til Bodø,
33,2019,34197,Brennholmen,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1818,HERØY I NORDLAND,18,Nordland,65.978714,12.16355,8,Helgeland til Bodø,
33,2019,35677,Brottøy,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1866,HADSEL,18,Nordland,68.4885,15.125917,9,Vestfjorden og Vesterålen,
33,2019,21415,Dyrholmen,ikke-medikamentell,,,,,,deler av lokaliteten,1141,FINNØY,11,Rogaland,59.285484,5.8583,2,Ryfylke,
