Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
33,2020,36737,Hallsteinhamn I,ikke-medikamentell,,,,,,hele lokaliteten,1804,BODØ,18,Nordland,67.44185,14.71595,9,Vestfjorden og Vesterålen,
33,2020,26615,Haug,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,5411,KVÆFJORD,54,Troms og Finnmark,68.76693,16.06485,10,Andøya til Senja,
33,2020,39997,Helligvær Ø,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1804,BODØ,18,Nordland,67.42153,14.031683,9,Vestfjorden og Vesterålen,
33,2020,18015,Hestabyneset,ikke-medikamentell,,,,,,deler av lokaliteten,4616,TYSNES,46,Vestland,59.953632,5.4514,3,Karmøy til Sotra,
33,2020,10410,Hindholmen,ikke-medikamentell,,,,,,hele lokaliteten,5060,NÆRØYSUND,50,Trøndelag,64.77393,11.44087,7,Nord-Trøndelag med Bindal,
33,2020,13643,Hjartholm,ikke-medikamentell,,,,,,deler av lokaliteten,4635,GULEN,46,Vestland,61.03512,5.33105,4,Nordhordaland til Stadt,
33,2020,11571,Holevik,ikke-medikamentell,,,,,,deler av lokaliteten,4613,BØMLO,46,Vestland,59.776585,5.321817,3,Karmøy til Sotra,
33,2020,32777,Hundbergan,ikke-medikamentell,,,,,,deler av lokaliteten,5421,SENJA,54,Troms og Finnmark,69.556885,17.61055,10,Andøya til Senja,
33,2020,29756,Indre Bringenes,ikke-medikamentell,,,,,,deler av lokaliteten,5421,SENJA,54,Troms og Finnmark,69.48227,17.57155,10,Andøya til Senja,
33,2020,12599,Indre Skjervøy,ikke-medikamentell,,,,,,deler av lokaliteten,5020,OSEN,50,Trøndelag,64.2858,10.30905,6,Nordmøre og Sør-Trøndelag,
33,2020,12224,Isane,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,4648,BREMANGER,46,Vestland,61.87725,5.725583,4,Nordhordaland til Stadt,
33,2020,31757,Kasteberget,ikke-medikamentell,,,,,,deler av lokaliteten,5413,IBESTAD,54,Troms og Finnmark,68.79125,16.914017,10,Andøya til Senja,
33,2020,12294,Kjerstad,ikke-medikamentell,,,,,,deler av lokaliteten,1507,ÅLESUND,15,Møre og Romsdal,62.622368,6.224883,5,Stadt til Hustadvika,
33,2020,13339,Klungervikneset,ikke-medikamentell,,,,,,hele lokaliteten,4613,BØMLO,46,Vestland,59.74687,5.3433,3,Karmøy til Sotra,
33,2020,18755,Klungset,ikke-medikamentell,,,,,,deler av lokaliteten,5060,NÆRØYSUND,50,Trøndelag,64.74997,11.394183,7,Nord-Trøndelag med Bindal,
33,2020,11201,Kolvikodden Ø,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1860,VESTVÅGØY,18,Nordland,68.088165,13.68965,9,Vestfjorden og Vesterålen,
33,2020,19195,Korsholman,ikke-medikamentell,,,,,,deler av lokaliteten,5056,HITRA,50,Trøndelag,63.597218,8.51575,6,Nordmøre og Sør-Trøndelag,
33,2020,32518,Kuøyna,ikke-medikamentell,,,,,,deler av lokaliteten,4635,GULEN,46,Vestland,60.996418,4.897983,4,Nordhordaland til Stadt,
33,2020,11074,Kvalvika,ikke-medikamentell,,,,,,hele lokaliteten,1836,RØDØY,18,Nordland,66.66908,13.391633,8,Helgeland til Bodø,
33,2020,13234,Kysnes,ikke-medikamentell,,,,,,deler av lokaliteten,4618,ULLENSVANG,46,Vestland,60.1993,6.095417,3,Karmøy til Sotra,
33,2020,10989,Labukta V,ikke-medikamentell,,,,,,hele lokaliteten,1818,HERØY I NORDLAND,18,Nordland,66.01325,12.350567,8,Helgeland til Bodø,
33,2020,10898,Lamholmen,ikke-medikamentell,,,,,,hele lokaliteten,1813,BRØNNØY,18,Nordland,65.47093,12.1338,8,Helgeland til Bodø,
33,2020,12993,Lamøya,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,5014,FRØYA,50,Trøndelag,63.73305,8.854983,6,Nordmøre og Sør-Trøndelag,
33,2020,11116,Langholmen,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1838,GILDESKÅL,18,Nordland,67.05783,14.025333,8,Helgeland til Bodø,
33,2020,24715,Langholmen,ikke-medikamentell,,,,,,deler av lokaliteten,1103,STAVANGER,11,Rogaland,59.097282,5.835917,2,Ryfylke,
33,2020,11116,Langholmen,ikke-medikamentell,,,,,,deler av lokaliteten,1838,GILDESKÅL,18,Nordland,67.05783,14.025333,8,Helgeland til Bodø,
33,2020,11350,Lavika,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,5421,SENJA,54,Troms og Finnmark,69.25753,17.0887,10,Andøya til Senja,
33,2020,13340,Leiholmane,ikke-medikamentell,,,,,,deler av lokaliteten,4635,GULEN,46,Vestland,60.980633,4.87435,4,Nordhordaland til Stadt,
33,2020,12392,Lille Torsøy,ikke-medikamentell,,,,,,deler av lokaliteten,5056,HITRA,50,Trøndelag,63.605633,8.48855,6,Nordmøre og Sør-Trøndelag,
33,2020,14076,Lismåsøy,ikke-medikamentell,,,,,,deler av lokaliteten,1813,BRØNNØY,18,Nordland,65.4933,12.169217,8,Helgeland til Bodø,
33,2020,40137,Lønngrunnen,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,5057,ØRLAND,50,Trøndelag,63.937283,9.780317,6,Nordmøre og Sør-Trøndelag,
33,2020,12127,Mælen,ikke-medikamentell,,,,,,deler av lokaliteten,4617,KVINNHERAD,46,Vestland,59.69935,5.724233,3,Karmøy til Sotra,
33,2020,35477,Makrellskjæret,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,5049,FLATANGER,50,Trøndelag,64.54919,10.7341,7,Nord-Trøndelag med Bindal,
33,2020,10232,Mannbruholmen,ikke-medikamentell,,,,,,hele lokaliteten,5014,FRØYA,50,Trøndelag,63.8473,8.53675,6,Nordmøre og Sør-Trøndelag,
33,2020,34057,Mohamn,ikke-medikamentell,,,,,,hele lokaliteten,5420,DYRØY,54,Troms og Finnmark,69.12883,17.79755,10,Andøya til Senja,
33,2020,24937,Nebbo,ikke-medikamentell,,,,,,deler av lokaliteten,4617,KVINNHERAD,46,Vestland,59.87075,5.725017,3,Karmøy til Sotra,
33,2020,10375,Nord Leksa,ikke-medikamentell,,,,,,deler av lokaliteten,5059,ORKLAND,50,Trøndelag,63.589367,9.409217,6,Nordmøre og Sør-Trøndelag,
33,2020,11129,Nordfugløy,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1838,GILDESKÅL,18,Nordland,67.083916,13.85685,8,Helgeland til Bodø,
33,2020,33297,Nye Skorpa,ikke-medikamentell,,,,,,hele lokaliteten,1827,DØNNA,18,Nordland,66.03093,12.481483,8,Helgeland til Bodø,
33,2020,10181,Oksebåsen V,ikke-medikamentell,,,,,,deler av lokaliteten,1532,GISKE,15,Møre og Romsdal,62.52025,6.16075,5,Stadt til Hustadvika,
33,2020,31697,Oksen,ikke-medikamentell,,,,,,deler av lokaliteten,4626,ØYGARDEN,46,Vestland,60.43418,4.94065,3,Karmøy til Sotra,
33,2020,38797,Oløya N,ikke-medikamentell,,,,,,deler av lokaliteten,5014,FRØYA,50,Trøndelag,63.852734,8.591083,6,Nordmøre og Sør-Trøndelag,
33,2020,19655,Ospeneset,ikke-medikamentell,,,,,,hele lokaliteten,4631,ALVER,46,Vestland,60.74687,5.268483,4,Nordhordaland til Stadt,
33,2020,10050,Ospøy Ø,ikke-medikamentell,,,,,,deler av lokaliteten,4613,BØMLO,46,Vestland,59.866566,5.228133,3,Karmøy til Sotra,
33,2020,11972,Prestholmane,ikke-medikamentell,,,,,,hele lokaliteten,1103,STAVANGER,11,Rogaland,59.116768,5.8545,2,Ryfylke,
33,2020,10149,Rafdal,ikke-medikamentell,,,,,,deler av lokaliteten,4611,ETNE,46,Vestland,59.790016,6.175783,3,Karmøy til Sotra,
33,2020,32997,Raven,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1865,VÅGAN,18,Nordland,68.28668,15.122683,9,Vestfjorden og Vesterålen,
33,2020,22796,Renga S,ikke-medikamentell,,,,,,deler av lokaliteten,1836,RØDØY,18,Nordland,66.58763,13.096633,8,Helgeland til Bodø,
33,2020,12003,Rossholmen N,ikke-medikamentell,,,,,,hele lokaliteten,1103,STAVANGER,11,Rogaland,59.06428,5.722617,2,Ryfylke,
33,2020,12794,Rundklumpen,medikamentell,badebehandling,Azamethiphos,,,,deler av lokaliteten,5057,ØRLAND,50,Trøndelag,63.801315,9.607583,6,Nordmøre og Sør-Trøndelag,
33,2020,13249,Sagelva,ikke-medikamentell,,,,,,deler av lokaliteten,1520,ØRSTA,15,Møre og Romsdal,62.33795,6.3815,5,Stadt til Hustadvika,
33,2020,12973,Saltkjelen I,ikke-medikamentell,,,,,,deler av lokaliteten,4622,KVAM,46,Vestland,60.31815,6.183183,3,Karmøy til Sotra,
33,2020,11138,Skålsvika,medikamentell,badebehandling,Azamethiphos,,,,hele lokaliteten,1837,MELØY,18,Nordland,66.7146,13.561517,8,Helgeland til Bodø,
33,2020,22315,Skavhella,ikke-medikamentell,,,,,,hele lokaliteten,4624,BJØRNAFJORDEN,46,Vestland,60.218933,5.5593,3,Karmøy til Sotra,
