Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
33,2026,35497,Drøno,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4625,AUSTEVOLL,46,Vestland,60.08077,5.192033,3,Karmøy til Sotra,1
32,2026,29816,Apalvikneset,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,4618,ULLENSVANG,46,Vestland,60.146217,6.121133,3,Karmøy til Sotra,0
32,2026,12988,Aukrasanden,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,5,Stadt til Hustadvika,0
32,2026,12357,Aursøysva,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5014,FRØYA,50,Trøndelag,63.801968,8.910767,6,Nordmøre og Sør-Trøndelag,1
32,2026,11800,Austneståa,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,4602,KINN,46,Vestland,61.490868,5.17265,4,Nordhordaland til Stadt,3
32,2026,25055,Bekksneset,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,4637,HYLLESTAD,46,Vestland,61.07675,5.386017,4,Nordhordaland til Stadt,0
32,2026,45049,Bergkråa,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,1806,NARVIK,18,Nordland,68.160866,16.333282,9,Vestfjorden og Vesterålen,3
32,2026,11574,Breivik S,ikke-medikamentell,termisk behandling,,,,,hele lokaliteten,4613,BØMLO,46,Vestland,59.671185,5.31215,3,Karmøy til Sotra,0
32,2026,36118,Bremnesøya,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1870,SORTLAND,18,Nordland,68.82377,15.400217,9,Vestfjorden og Vesterålen,0
32,2026,10110,Djupevik,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,1103,STAVANGER,11,Rogaland,59.1474,5.863783,2,Ryfylke,0
32,2026,10338,Djupevik,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4622,KVAM,46,Vestland,60.406715,6.35625,3,Karmøy til Sotra,2
32,2026,10338,Djupevik,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,4622,KVAM,46,Vestland,60.406715,6.35625,3,Karmøy til Sotra,2
32,2026,36917,Drevflesa,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,5058,ÅFJORD,50,Trøndelag,64.21087,10.115417,6,Nordmøre og Sør-Trøndelag,0
32,2026,35497,Drøno,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4625,AUSTEVOLL,46,Vestland,60.08077,5.192033,3,Karmøy til Sotra,3
32,2026,12033,Dysvik,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4622,KVAM,46,Vestland,60.191017,5.967617,3,Karmøy til Sotra,4
32,2026,14041,Edøya,ikke-medikamentell,ferskvannsbehandling,,,,,deler av lokaliteten,5056,HITRA,50,Trøndelag,63.65835,8.694417,6,Nordmøre og Sør-Trøndelag,4
32,2026,32677,Espnestaren,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5014,FRØYA,50,Trøndelag,63.677883,8.667,6,Nordmøre og Sør-Trøndelag,3
32,2026,10803,Fjellbukt,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,5546,KVÆNANGEN,55,Troms,69.90414,21.875168,11,Kvaløya til Loppa,6
32,2026,11833,Flåtegrunnen,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,4602,KINN,46,Vestland,61.57565,4.80805,4,Nordhordaland til Stadt,2
32,2026,36138,Flatøyfjorden,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5058,ÅFJORD,50,Trøndelag,64.27302,10.246233,6,Nordmøre og Sør-Trøndelag,4
32,2026,19115,Fugløya,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5056,HITRA,50,Trøndelag,63.475918,9.109833,6,Nordmøre og Sør-Trøndelag,2
32,2026,24315,Gjæsingen,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5058,ÅFJORD,50,Trøndelag,64.117615,9.981417,6,Nordmøre og Sør-Trøndelag,4
32,2026,32037,Grasholman,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,1834,LURØY,18,Nordland,66.3489,12.777717,8,Helgeland til Bodø,5
32,2026,11690,Grasholmen,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4631,ALVER,46,Vestland,60.595768,5.159717,4,Nordhordaland til Stadt,4
32,2026,24735,Gulholmen,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4624,BJØRNAFJORDEN,46,Vestland,60.126682,5.399417,3,Karmøy til Sotra,3
32,2026,12789,Gunnarøya,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5059,ORKLAND,50,Trøndelag,63.569485,9.467983,6,Nordmøre og Sør-Trøndelag,3
32,2026,39537,Gyltneset,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,5007,NAMSOS,50,Trøndelag,64.683815,11.36595,7,Nord-Trøndelag med Bindal,0
32,2026,13592,Hammer,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,1848,STEIGEN,18,Nordland,67.95877,15.171667,9,Vestfjorden og Vesterålen,5
32,2026,36178,Haukøya Ø,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,5542,SKJERVØY,55,Troms,70.046135,21.282034,11,Kvaløya til Loppa,0
32,2026,30257,Hausan,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5055,HEIM,50,Trøndelag,63.458317,8.955683,6,Nordmøre og Sør-Trøndelag,3
32,2026,14679,Hellfjorden,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1867,BØ I NORDLAND,18,Nordland,68.668365,14.8005,9,Vestfjorden og Vesterålen,
32,2026,12590,Helligholmen,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,5060,NÆRØYSUND,50,Trøndelag,64.83839,10.665517,7,Nord-Trøndelag med Bindal,0
32,2026,10808,Hjellberget,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,5546,KVÆNANGEN,55,Troms,69.91225,21.598766,11,Kvaløya til Loppa,2
32,2026,10518,Horsvågen,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,1875,HAMARØY,18,Nordland,68.0213,15.29955,9,Vestfjorden og Vesterålen,6
32,2026,33218,Hosenøyan,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5058,ÅFJORD,50,Trøndelag,64.08505,9.88505,6,Nordmøre og Sør-Trøndelag,4
32,2026,19939,Høysteinen,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4617,KVINNHERAD,46,Vestland,60.157417,6.050117,3,Karmøy til Sotra,2
32,2026,21516,Hulløyhamn Ø,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,1875,HAMARØY,18,Nordland,68.05714,16.204468,9,Vestfjorden og Vesterålen,4
32,2026,10796,Hundbergan,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,5614,LOPPA,56,Finnmark,70.19945,21.811016,12,Vest-Finnmark,0
32,2026,45215,Iselva,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,5603,HAMMERFEST,56,Finnmark,70.5756,24.085817,12,Vest-Finnmark,3
32,2026,14245,Jakobsteinsvika,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5052,LEKA,50,Trøndelag,65.11235,11.792967,7,Nord-Trøndelag med Bindal,6
32,2026,29656,Juvika,ikke-medikamentell,ferskvannsbehandling,,,,,hele lokaliteten,4636,SOLUND,46,Vestland,61.1051,5.019933,4,Nordhordaland til Stadt,
32,2026,29656,Juvika,ikke-medikamentell,termisk behandling,,,,,hele lokaliteten,4636,SOLUND,46,Vestland,61.1051,5.019933,4,Nordhordaland til Stadt,
32,2026,31757,Kasteberget,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,5514,IBESTAD,55,Troms,68.79125,16.914017,10,Andøya til Senja,2
32,2026,31757,Kasteberget,ikke-medikamentell,ferskvannsbehandling,,,,,deler av lokaliteten,5514,IBESTAD,55,Troms,68.79125,16.914017,10,Andøya til Senja,2
32,2026,10409,Kjelneset,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5007,NAMSOS,50,Trøndelag,64.64387,11.388867,7,Nord-Trøndelag med Bindal,5
32,2026,11534,Klungsholmen,medikamentell,badebehandling,Annet virkestoff,,,,hele lokaliteten,4613,BØMLO,46,Vestland,59.596783,5.161567,3,Karmøy til Sotra,0
32,2026,10113,Kobbavika,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,1103,STAVANGER,11,Rogaland,59.12232,5.934433,2,Ryfylke,1
32,2026,45260,Korshamn,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5056,HITRA,50,Trøndelag,63.441116,8.595233,6,Nordmøre og Sør-Trøndelag,5
32,2026,19195,Korsholman,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,5056,HITRA,50,Trøndelag,63.597218,8.51575,6,Nordmøre og Sør-Trøndelag,1
32,2026,10224,Korsneset,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5055,HEIM,50,Trøndelag,63.1434,8.21755,6,Nordmøre og Sør-Trøndelag,10
32,2026,24975,Kvernavika,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4616,TYSNES,46,Vestland,60.069283,5.351183,3,Karmøy til Sotra,1
32,2026,10041,Kviksholmen,ikke-medikamentell,ferskvannsbehandling,,,,,hele lokaliteten,4625,AUSTEVOLL,46,Vestland,60.054317,5.090733,3,Karmøy til Sotra,
32,2026,10041,Kviksholmen,ikke-medikamentell,termisk behandling,,,,,hele lokaliteten,4625,AUSTEVOLL,46,Vestland,60.054317,5.090733,3,Karmøy til Sotra,
32,2026,11775,Kviteskjeret,ikke-medikamentell,ferskvannsbehandling,,,,,hele lokaliteten,4645,ASKVOLL,46,Vestland,61.467815,5.2203,4,Nordhordaland til Stadt,
32,2026,11775,Kviteskjeret,ikke-medikamentell,termisk behandling,,,,,hele lokaliteten,4645,ASKVOLL,46,Vestland,61.467815,5.2203,4,Nordhordaland til Stadt,
32,2026,11116,Langholmen,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1838,GILDESKÅL,18,Nordland,67.05783,14.025333,8,Helgeland til Bodø,15
32,2026,11116,Langholmen,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1838,GILDESKÅL,18,Nordland,67.05783,14.025333,8,Helgeland til Bodø,17
32,2026,13055,Langøyna Ø,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,1146,TYSVÆR,11,Rogaland,59.2983,5.713333,2,Ryfylke,3
32,2026,23056,Lekangsund II,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5530,SENJA,55,Troms,69.03768,17.264133,10,Andøya til Senja,2
32,2026,40137,Lønngrunnen,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5057,ØRLAND,50,Trøndelag,63.937534,9.779517,6,Nordmøre og Sør-Trøndelag,4
32,2026,36117,Matvika,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,1845,SØRFOLD,18,Nordland,67.528,15.359683,9,Vestfjorden og Vesterålen,5
32,2026,21397,Midt Femris,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,1838,GILDESKÅL,18,Nordland,67.036934,13.967767,8,Helgeland til Bodø,
32,2026,30157,Movik,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1845,SØRFOLD,18,Nordland,67.63265,15.26325,9,Vestfjorden og Vesterålen,0
32,2026,10303,Nappeholmane,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,4613,BØMLO,46,Vestland,59.742985,5.363633,3,Karmøy til Sotra,
32,2026,33937,Nørholmen,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.338917,8.2718,6,Nordmøre og Sør-Trøndelag,1
32,2026,33937,Nørholmen,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.338917,8.2718,6,Nordmøre og Sør-Trøndelag,8
32,2026,31697,Oksen,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,4626,ØYGARDEN,46,Vestland,60.43418,4.94065,3,Karmøy til Sotra,2
32,2026,28676,Olvika,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,1834,LURØY,18,Nordland,66.4367,13.126033,8,Helgeland til Bodø,11
32,2026,19875,Or,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1505,KRISTIANSUND,15,Møre og Romsdal,63.039932,7.850267,6,Nordmøre og Sør-Trøndelag,0
32,2026,39937,Orholmen,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.77625,6.78015,5,Stadt til Hustadvika,4
32,2026,17235,Ørnes,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,1834,LURØY,18,Nordland,66.42087,13.018317,8,Helgeland til Bodø,2
32,2026,45077,Ørnhaugneset,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,1875,HAMARØY,18,Nordland,67.98025,15.5878,9,Vestfjorden og Vesterålen,3
32,2026,13345,Oterstegdalen,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,4624,BJØRNAFJORDEN,46,Vestland,60.23545,5.638267,3,Karmøy til Sotra,2
