Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
33,2018,15196,Aga Ø,0.19,1.25,0.08,Nei,Ja,1219,BØMLO,12,Hordaland,59.8451,5.261367,0.5,Nei,16.26,3,Karmøy til Sotra
33,2018,12067,Aldalen,,,,Ja,Nei,1243,OS I HORDALAND,12,Hordaland,60.24995,5.571917,0.5,,,3,Karmøy til Sotra
33,2018,12982,Aldeøyna,,,,Ja,Nei,1428,ASKVOLL,14,Sogn og Fjordane,61.31025,4.76905,0.5,,,4,Nordhordaland til Stadt
33,2018,11756,Allersholmen,0,0.05,0,Nei,Ja,1264,AUSTRHEIM,12,Hordaland,60.77465,4.8536,0.5,Nei,15,4,Nordhordaland til Stadt
33,2018,13271,Almurden,,,,Ja,Nei,5049,FLATANGER,50,Trøndelag,64.433235,10.68095,0.5,,,7,Nord-Trøndelag med Bindal
33,2018,11416,Alsvåg,,,,Ja,Nei,1868,ØKSNES,18,Nordland,68.9027,15.28675,0.5,,,9,Vestfjorden og Vesterålen
33,2018,12086,Alsåkervik,0.31,0.44,0,Nei,Ja,1224,KVINNHERAD,12,Hordaland,59.7601,6.074183,0.5,Nei,16.6,3,Karmøy til Sotra
33,2018,13227,Altaneset,,,,Ja,Nei,1241,FUSA,12,Hordaland,60.247116,5.63475,0.5,,,3,Karmøy til Sotra
33,2018,11179,Alterosen,,,,Nei,Nei,1865,VÅGAN,18,Nordland,68.20737,14.446867,0.5,,12,9,Vestfjorden og Vesterålen
33,2018,11513,Andal,,,,Ja,Nei,1219,BØMLO,12,Hordaland,59.636482,5.247117,0.5,,,3,Karmøy til Sotra
33,2018,38037,Andalsvågen I,0,0,0,Nei,Ja,1816,VEVELSTAD,18,Nordland,65.5826,12.4032,0.5,Nei,10.92,8,Helgeland til Bodø
33,2018,32277,Andholmen 1,,,,Ja,Nei,1573,SMØLA,15,Møre og Romsdal,63.469784,7.8556,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2018,32297,Andholmen 2,,,,Ja,Nei,1573,SMØLA,15,Møre og Romsdal,63.46745,7.847167,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2018,33257,Andreggrunnen,,,,Ja,Nei,1141,FINNØY,11,Rogaland,59.238884,5.740617,0.5,,,2,Ryfylke
33,2018,30156,Anevik,,,,Ja,Nei,1848,STEIGEN,18,Nordland,68.00592,15.264333,0.5,,,9,Vestfjorden og Vesterålen
33,2018,13563,Angelskår,0.12,0.1,0.02,Nei,Ja,1253,OSTERØY,12,Hordaland,60.524418,5.3568,0.5,Nei,16.6,4,Nordhordaland til Stadt
33,2018,13518,Angstauren,0.02,0.09,0.06,Nei,Ja,1902,TROMSØ,19,Troms,69.695335,18.170267,0.5,Nei,11.9,11,Kvaløya til Loppa
33,2018,29816,Apalvikneset,0.05,0.24,0.01,Nei,Ja,1227,JONDAL,12,Hordaland,60.146217,6.121133,0.5,Nei,16.7,3,Karmøy til Sotra
33,2018,12085,Aplavika,,,,Ja,Nei,1238,KVAM,12,Hordaland,60.258583,6.055517,0.5,,,3,Karmøy til Sotra
33,2018,20496,Atlatveit,,,,Ja,Nei,1141,FINNØY,11,Rogaland,59.227734,5.984233,0.5,,,2,Ryfylke
33,2018,14016,Auenes,,,,Ja,Nei,0926,LILLESAND,09,Aust-Agder,58.140266,8.2553,0.5,,16.8,1,Svenskegrensen til Jæren
33,2018,13254,Aukan,,,,Ja,Nei,1554,AVERØY,15,Møre og Romsdal,63.0603,7.594283,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2018,12988,Aukrasanden,0,0.04,0,Nei,Ja,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,0.5,Nei,15.47,5,Stadt til Hustadvika
33,2018,12357,Aursøysva,0.16,0.45,0.03,Nei,Ja,5014,FRØYA,50,Trøndelag,63.801968,8.910767,0.5,Nei,12.4,6,Nordmøre og Sør-Trøndelag
33,2018,10275,Auskarnes Ø,,,,Ja,Nei,2014,LOPPA,20,Finnmark,70.14145,22.3542,0.5,,,12,Vest-Finnmark
33,2018,11800,Austneståa,0.24,1.96,0.6,Nei,Ja,1401,FLORA,14,Sogn og Fjordane,61.490818,5.171167,0.5,Nei,16.47,4,Nordhordaland til Stadt
33,2018,26795,Austvika,0.22,0.71,0.94,Nei,Ja,5049,FLATANGER,50,Trøndelag,64.41853,10.696033,0.5,Nei,14.43,7,Nord-Trøndelag med Bindal
33,2018,13572,Badstuvika,0.29,0.24,0.02,Nei,Ja,5013,HITRA,50,Trøndelag,63.53398,9.1469,0.5,Nei,12.1,6,Nordmøre og Sør-Trøndelag
33,2018,13341,Bakjestranda,,,,Ja,Nei,1438,BREMANGER,14,Sogn og Fjordane,61.82025,4.940267,0.5,,,4,Nordhordaland til Stadt
33,2018,19395,Bakka,,,,Ja,Nei,1238,KVAM,12,Hordaland,60.23498,6.006217,0.5,,,3,Karmøy til Sotra
33,2018,32537,Baltsfjord,,,,Ja,Nei,1931,LENVIK,19,Troms,69.5463,17.7697,0.5,,,10,Andøya til Senja
33,2018,13305,Barbogen,,,,Ja,Nei,1928,TORSKEN,19,Troms,69.36843,17.0281,0.5,,,10,Andøya til Senja
33,2018,13873,Barlingebotten,,,,Ja,Nei,1266,MASFJORDEN,12,Hordaland,60.863083,5.364017,0.5,,,4,Nordhordaland til Stadt
33,2018,31877,Barøya,0.26,0.9,0,Nei,Ja,5005,NAMSOS,50,Trøndelag,64.62112,11.235517,0.5,Nei,13.7,7,Nord-Trøndelag med Bindal
33,2018,18235,Bastli,,,,Ja,Nei,1133,HJELMELAND,11,Rogaland,59.2694,6.193083,0.5,,,2,Ryfylke
33,2018,13845,Beitveit,0.06,0.27,0.03,Nei,Ja,1441,SELJE,14,Sogn og Fjordane,62.141335,5.3397,0.5,Nei,15.81,5,Stadt til Hustadvika
33,2018,25055,Bekksneset,0.18,0.36,0.08,Nei,Ja,1413,HYLLESTAD,14,Sogn og Fjordane,61.07662,5.38595,0.5,Nei,16.51,4,Nordhordaland til Stadt
33,2018,12095,Bergadalen,,,,Ja,Nei,1238,KVAM,12,Hordaland,60.1216,5.908883,0.5,,,3,Karmøy til Sotra
33,2018,20396,Bergsnes V,0.09,0.23,0,Nei,Ja,2012,ALTA,20,Finnmark,70.22971,23.336117,0.5,Nei,11.6,12,Vest-Finnmark
33,2018,13872,Bergsvik,,,,Ja,Nei,1266,MASFJORDEN,12,Hordaland,60.86295,5.3474,0.5,,,4,Nordhordaland til Stadt
33,2018,30397,Bergsøy,,,,Ja,Nei,1848,STEIGEN,18,Nordland,67.897,15.15785,0.5,,,9,Vestfjorden og Vesterålen
33,2018,11241,Bergvikodden,,,,Ja,Nei,1866,HADSEL,18,Nordland,68.57475,14.850883,0.5,,,9,Vestfjorden og Vesterålen
33,2018,11930,Bjelkavik,,,,Ja,Nei,1134,SULDAL,11,Rogaland,59.45165,5.991917,0.5,,,2,Ryfylke
33,2018,12178,Bjønnspjotneset,0.1,0.47,0.15,Nei,Ja,1416,HØYANGER,14,Sogn og Fjordane,61.098083,5.82545,0.5,Nei,16.8,4,Nordhordaland til Stadt
33,2018,31738,Bjørga,,,,Ja,Nei,1925,SØRREISA,19,Troms,69.153984,17.948418,0.5,,,10,Andøya til Senja
33,2018,12625,Bjørgan,,,,Ja,Nei,5049,FLATANGER,50,Trøndelag,64.59268,10.908333,0.5,,,7,Nord-Trøndelag med Bindal
