Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
33,2012,15196,Aga Ø,0,0.5,0.2,Nei,Ja,1219,BØMLO,12,Hordaland,59.8451,5.261367,0.5,Nei,15.83,3,Karmøy til Sotra
33,2012,12067,Aldalen,0.75,1.75,0.33,Nei,Ja,1243,OS I HORDALAND,12,Hordaland,60.248333,5.5709,0.5,Ja,17,3,Karmøy til Sotra
33,2012,12982,Aldeøyna,,,,Nei,Nei,1428,ASKVOLL,14,Sogn og Fjordane,61.31025,4.76905,0.5,,,4,Nordhordaland til Stadt
33,2012,11756,Allersholmen,,,,Ja,Nei,1264,AUSTRHEIM,12,Hordaland,60.77465,4.8536,0.5,,,4,Nordhordaland til Stadt
33,2012,13271,Almurden,,,,Ja,Nei,1749,FLATANGER,17,Nord-Trøndelag,64.434006,10.683713,0.5,,,7,Nord-Trøndelag med Bindal
33,2012,11416,Alsvåg,,,,Ja,Nei,1868,ØKSNES,18,Nordland,68.90258,15.2862,0.5,,,9,Vestfjorden og Vesterålen
33,2012,12086,Alsåkervik,0.27,1.83,0,Nei,Ja,1224,KVINNHERAD,12,Hordaland,59.7601,6.074183,0.5,Nei,16.86,3,Karmøy til Sotra
33,2012,13227,Altaneset,,,,Ja,Nei,1241,FUSA,12,Hordaland,60.247116,5.63475,0.5,,,3,Karmøy til Sotra
33,2012,11179,Alterosen,,,,Ja,Nei,1865,VÅGAN,18,Nordland,68.20478,14.442495,0.5,,,9,Vestfjorden og Vesterålen
33,2012,11513,Andal,0.15,0.35,0.2,Nei,Ja,1219,BØMLO,12,Hordaland,59.63655,5.2466,0.5,Nei,15.2,3,Karmøy til Sotra
33,2012,13108,Andalsvågen,,,,Ja,Nei,1816,VEVELSTAD,18,Nordland,65.57322,12.389317,0.5,,,8,Helgeland til Bodø
33,2012,32277,Andholmen 1,0,0,0,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.47,7.855,0.5,Nei,13.76,6,Nordmøre og Sør-Trøndelag
33,2012,32297,Andholmen 2,0,0,0,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.46745,7.847167,0.5,Nei,13.79,6,Nordmøre og Sør-Trøndelag
33,2012,30156,Anevik,,,,Ja,Nei,1848,STEIGEN,18,Nordland,68.00592,15.264333,0.5,,,9,Vestfjorden og Vesterålen
33,2012,13563,Angelskår,0,0,0,Nei,Ja,1253,OSTERØY,12,Hordaland,60.525784,5.357133,0.5,Nei,12.91,4,Nordhordaland til Stadt
33,2012,13518,Angstauren,,,,Ja,Nei,1902,TROMSØ,19,Troms,69.695335,18.170267,0.5,,,11,Kvaløya til Loppa
33,2012,29816,Apalvikneset,0,0,0,Nei,Ja,1224,KVINNHERAD,12,Hordaland,60.145584,6.120467,0.5,Nei,14.8,3,Karmøy til Sotra
33,2012,12085,Aplavika,0.1,0.18,0,Nei,Ja,1238,KVAM,12,Hordaland,60.258766,6.05535,0.5,Nei,15.4,3,Karmøy til Sotra
33,2012,11119,Arnøysundet,,,,Ja,Nei,1838,GILDESKÅL,18,Nordland,67.14978,13.991,0.5,,,8,Helgeland til Bodø
33,2012,10960,Aspviksundet,0.5,0.83,0.43,Nei,Ja,1820,ALSTAHAUG,18,Nordland,65.86287,12.624533,0.5,Ja,11,8,Helgeland til Bodø
33,2012,11942,Aspøy Nv,,,,Ja,Nei,1102,SANDNES,11,Rogaland,58.93247,5.988867,0.5,,,2,Ryfylke
33,2012,11938,Aspøy Ø,,,,Ja,Nei,1102,SANDNES,11,Rogaland,58.93025,5.99725,0.5,,,2,Ryfylke
33,2012,12668,Astridholmen,,,,Ja,Nei,1751,NÆRØY,17,Nord-Trøndelag,64.80798,11.542583,0.5,,,7,Nord-Trøndelag med Bindal
33,2012,20496,Atlatveit,,,,Ja,Nei,1141,FINNØY,11,Rogaland,59.227734,5.984233,0.5,,,2,Ryfylke
33,2012,11967,Audbø S,,,,Ja,Nei,1141,FINNØY,11,Rogaland,59.24473,5.851067,0.5,,,2,Ryfylke
33,2012,14016,Auenes,0,0,0,Nei,Ja,0926,LILLESAND,09,Aust-Agder,58.140266,8.2553,0.5,Nei,18,1,Svenskegrensen til Jæren
33,2012,13254,Aukan,0.03,0.15,0.03,Nei,Ja,1554,AVERØY,15,Møre og Romsdal,63.0603,7.594283,0.5,Nei,14.5,6,Nordmøre og Sør-Trøndelag
33,2012,32077,Aukan,,,,Ja,Nei,1576,AURE,15,Møre og Romsdal,63.162266,8.309633,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2012,12988,Aukrasanden,0,0.13,0.05,Nei,Ja,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,0.5,Nei,13.63,5,Stadt til Hustadvika
33,2012,10870,Aunholmen Ø,,,,Ja,Nei,1816,VEVELSTAD,18,Nordland,65.70697,12.621217,0.5,,,8,Helgeland til Bodø
33,2012,12357,Aursøysva,,,,Nei,Nei,1620,FRØYA,16,Sør-Trøndelag,63.80015,8.906083,0.5,,12.9,6,Nordmøre og Sør-Trøndelag
33,2012,10275,Auskarnes Ø,0.13,0.23,0.48,Nei,Ja,2014,LOPPA,20,Finnmark,70.14145,22.3542,0.5,Nei,10,12,Vest-Finnmark
33,2012,11800,Austneståa,0.02,0.07,0.1,Nei,Ja,1401,FLORA,14,Sogn og Fjordane,61.49072,5.169133,0.5,Nei,15.77,4,Nordhordaland til Stadt
33,2012,26795,Austvika,,,,Ja,Nei,1749,FLATANGER,17,Nord-Trøndelag,64.41853,10.696033,0.5,,,7,Nord-Trøndelag med Bindal
33,2012,13572,Badstuvika,0,0.3,0.13,Nei,Ja,1617,HITRA,16,Sør-Trøndelag,63.53398,9.1469,0.5,Nei,13.7,6,Nordmøre og Sør-Trøndelag
33,2012,13341,Bakjestranda,0.05,2.53,0.36,Nei,Ja,1438,BREMANGER,14,Sogn og Fjordane,61.820415,4.937017,0.5,Nei,14.5,4,Nordhordaland til Stadt
33,2012,19395,Bakka,,,,Ja,Nei,1238,KVAM,12,Hordaland,60.23498,6.006217,0.5,,,3,Karmøy til Sotra
33,2012,10283,Baklia,,,,Ja,Nei,2019,NORDKAPP,20,Finnmark,70.97432,25.838717,0.5,,,12,Vest-Finnmark
33,2012,32537,Baltsfjord,,,,Ja,Nei,1931,LENVIK,19,Troms,69.5463,17.7697,0.5,,,10,Andøya til Senja
33,2012,13305,Barbogen,,,,Ja,Nei,1928,TORSKEN,19,Troms,69.36843,17.0281,0.5,,,10,Andøya til Senja
33,2012,13873,Barlingebotten,0,0.1,0,Nei,Ja,1266,MASFJORDEN,12,Hordaland,60.863083,5.364017,0.5,Nei,15,4,Nordhordaland til Stadt
33,2012,31877,Barøya,,,,Ja,Nei,1703,NAMSOS,17,Nord-Trøndelag,64.6206,11.233183,0.5,,,7,Nord-Trøndelag med Bindal
33,2012,18235,Bastli,,,,Ja,Nei,1133,HJELMELAND,11,Rogaland,59.269382,6.19265,0.5,,,2,Ryfylke
33,2012,13845,Beitveit,0,0.13,0,Nei,Ja,1441,SELJE,14,Sogn og Fjordane,62.141216,5.32675,0.5,Nei,14.9,5,Stadt til Hustadvika
33,2012,25055,Bekksneset,0.48,0.98,0,Nei,Ja,1413,HYLLESTAD,14,Sogn og Fjordane,61.07635,5.386183,0.5,Nei,16.21,4,Nordhordaland til Stadt
33,2012,27656,Belneset,,,,Ja,Nei,1919,GRATANGEN,19,Troms,68.80388,17.387056,0.5,,,10,Andøya til Senja
33,2012,12095,Bergadalen,,,,Ja,Nei,1238,KVAM,12,Hordaland,60.1216,5.908883,0.5,,,3,Karmøy til Sotra
33,2012,27295,Bergneset N,,,,Ja,Nei,1612,HEMNE,16,Sør-Trøndelag,63.32495,9.109805,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2012,20396,Bergsnes V,0.05,0.24,0.38,Nei,Ja,2012,ALTA,20,Finnmark,70.22971,23.336117,0.5,Nei,10.5,12,Vest-Finnmark
33,2012,10812,Bergsnes Ø,,,,Ja,Nei,2012,ALTA,20,Finnmark,70.229,23.33414,0.5,,,12,Vest-Finnmark
33,2012,13872,Bergsvik,,,,Ja,Nei,1266,MASFJORDEN,12,Hordaland,60.862816,5.346883,0.5,,,4,Nordhordaland til Stadt
33,2012,30397,Bergsøy,,,,Ja,Nei,1848,STEIGEN,18,Nordland,67.89719,15.158883,0.5,,,9,Vestfjorden og Vesterålen
33,2012,11241,Bergvikodden,,,,Ja,Nei,1866,HADSEL,18,Nordland,68.57475,14.850883,0.5,,,9,Vestfjorden og Vesterålen
33,2012,27556,Beøya,0,0.13,0.58,Nei,Ja,1617,HITRA,16,Sør-Trøndelag,63.663666,8.847783,0.5,Nei,12.8,6,Nordmøre og Sør-Trøndelag
33,2012,11930,Bjelkavik,0,0.1,0,Nei,Ja,1134,SULDAL,11,Rogaland,59.44718,5.986017,0.5,Nei,14.2,2,Ryfylke
33,2012,12178,Bjønnspjotneset,0,0,0.03,Nei,Ja,1416,HØYANGER,14,Sogn og Fjordane,61.0985,5.825533,0.5,Nei,15,4,Nordhordaland til Stadt
33,2012,31738,Bjørga,1.7,1.9,0.3,Nei,Ja,1925,SØRREISA,19,Troms,69.151436,17.9562,0.5,Ja,11.5,10,Andøya til Senja
33,2012,12625,Bjørgan,0,0,0.02,Nei,Ja,1749,FLATANGER,17,Nord-Trøndelag,64.5921,10.90985,0.5,Nei,13.5,7,Nord-Trøndelag med Bindal
33,2012,31317,Bjørkvik,0.13,0.17,0,Nei,Ja,1850,TYSFJORD,18,Nordland,68.02925,16.131416,0.5,Nei,12,9,Vestfjorden og Vesterålen
33,2012,22455,Bjørlykkestranda,1.24,1.1,0.28,Nei,Ja,1511,VANYLVEN,15,Møre og Romsdal,62.16655,5.5954,0.5,Ja,15.24,5,Stadt til Hustadvika
33,2012,12308,Bjørndal,0.16,0.19,0,Nei,Ja,1520,ØRSTA,15,Møre og Romsdal,62.274834,6.002983,0.5,Nei,15.1,5,Stadt til Hustadvika
33,2012,25975,Bjørnskjæret,,,,Ja,Nei,1755,LEKA,17,Nord-Trøndelag,65.038506,11.459672,0.5,,,7,Nord-Trøndelag med Bindal
33,2012,11340,Bjørnstein,,,,Ja,Nei,1917,IBESTAD,19,Troms,68.892365,17.110233,0.5,,,10,Andøya til Senja
33,2012,11274,Bjørnsvik,,,,Ja,Nei,1845,SØRFOLD,18,Nordland,67.5327,15.386167,0.5,,,9,Vestfjorden og Vesterålen
33,2012,10964,Blokkholmen,3.83,13.1,5.1,Nei,Ja,1834,LURØY,18,Nordland,66.37265,12.553267,0.5,Ja,12.5,8,Helgeland til Bodø
33,2012,12156,Blom,0,0.2,0,Nei,Ja,1253,OSTERØY,12,Hordaland,60.436584,5.564833,0.5,Nei,12.73,4,Nordhordaland til Stadt
33,2012,31857,Blomsøråsa,,,,Ja,Nei,1820,ALSTAHAUG,18,Nordland,65.85685,12.31285,0.5,,,8,Helgeland til Bodø
33,2012,29458,Blåmannsvik,0.2,0.1,0.1,Nei,Ja,1902,TROMSØ,19,Troms,69.72998,18.655434,0.5,Nei,9.9,11,Kvaløya til Loppa
33,2012,19255,Blåsenborgneset,,,,Ja,Nei,2030,SØR-VARANGER,20,Finnmark,69.73305,30.1079,0.5,,,13,Øst-Finnmark
33,2012,11399,Bogelva,,,,Ja,Nei,1911,KVÆFJORD,19,Troms,68.656265,15.902467,0.5,,,10,Andøya til Senja
33,2012,10212,Bogen,,,,Nei,Nei,1505,KRISTIANSUND,15,Møre og Romsdal,63.077667,7.90345,0.5,,15,6,Nordmøre og Sør-Trøndelag
33,2012,12252,Bogen Md,0,0.27,0,Nei,Ja,1545,MIDSUND,15,Møre og Romsdal,62.69082,6.868767,0.5,Nei,13.7,5,Stadt til Hustadvika
33,2012,13209,Bognøy,0.1,0.15,0,Nei,Ja,1260,RADØY,12,Hordaland,60.60407,5.076983,0.5,Nei,14,4,Nordhordaland til Stadt
33,2012,13284,Bollhaugen,0.1,0.45,0.35,Nei,Ja,1827,DØNNA,18,Nordland,66.1125,12.4868,0.5,Nei,12.3,8,Helgeland til Bodø
33,2012,13143,Bondejorda,0,0,0,Nei,Ja,2022,LEBESBY,20,Finnmark,70.8152,27.58275,0.5,Nei,10.34,12,Vest-Finnmark
33,2012,10256,Bondøya,0,0.21,0.03,Nei,Ja,1750,VIKNA,17,Nord-Trøndelag,64.81715,10.7425,0.5,Nei,13.77,7,Nord-Trøndelag med Bindal
33,2012,11248,Bonhammaren,0,0,0.04,Nei,Ja,1867,BØ I NORDLAND,18,Nordland,68.81738,14.7101,0.5,Nei,10.6,9,Vestfjorden og Vesterålen
33,2012,15796,Borgarliflot,,,,Ja,Nei,1134,SULDAL,11,Rogaland,59.388035,5.929283,0.5,,,2,Ryfylke
33,2012,13747,Bragstadsundet III,,,,Ja,Nei,1748,FOSNES,17,Nord-Trøndelag,64.686325,11.257278,0.5,,,7,Nord-Trøndelag med Bindal
33,2012,12040,Brandaskuta,,,,Ja,Nei,1224,KVINNHERAD,12,Hordaland,59.977615,5.912417,0.5,,,3,Karmøy til Sotra
33,2012,11488,Brattavika,,,,Nei,Nei,1244,AUSTEVOLL,12,Hordaland,60.045433,5.301117,0.5,,,3,Karmøy til Sotra
33,2012,11015,Brattholmen,0.18,0.28,0.12,Nei,Ja,1818,HERØY I NORDLAND,18,Nordland,65.9068,12.221317,0.5,Nei,11.3,8,Helgeland til Bodø
33,2012,13205,Brattholmen,0.25,1.15,0.12,Nei,Ja,1412,SOLUND,14,Sogn og Fjordane,61.068382,4.713817,0.5,Nei,15,4,Nordhordaland til Stadt
33,2012,11514,Brattholmen S,,,,Ja,Nei,1216,SVEIO,12,Hordaland,59.51832,5.244383,0.5,,,3,Karmøy til Sotra
33,2012,12594,Breidvika,,,,Nei,Nei,1633,OSEN,16,Sør-Trøndelag,64.295364,10.397483,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2012,11574,Breivik S,0.1,9.65,2.33,Nei,Ja,1219,BØMLO,12,Hordaland,59.671185,5.31215,0.5,Nei,15.34,3,Karmøy til Sotra
33,2012,13765,Breivika,,,,Ja,Nei,1834,LURØY,18,Nordland,66.462074,12.959937,0.5,,,8,Helgeland til Bodø
33,2012,15621,Breivika,,,,Ja,Nei,1836,RØDØY,18,Nordland,66.58036,13.015637,0.5,,,8,Helgeland til Bodø
33,2012,28336,Breivika,,,,Ja,Nei,1827,DØNNA,18,Nordland,66.1609,12.681467,0.5,,,8,Helgeland til Bodø
33,2012,12628,Breivika,,,,Ja,Nei,1750,VIKNA,17,Nord-Trøndelag,64.87444,10.894678,0.5,,,7,Nord-Trøndelag med Bindal
33,2012,32897,Breivika Sør,,,,Ja,Nei,1827,DØNNA,18,Nordland,66.1581,12.682017,0.5,,,8,Helgeland til Bodø
33,2012,10223,Bremnessvaet,0.03,0.6,0.05,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.39795,8.214317,0.5,Nei,13.75,6,Nordmøre og Sør-Trøndelag
33,2012,10674,Brennelvbukt,0,0.01,0,Nei,Ja,2027,UNJARGGA-NESSEBY,20,Finnmark,70.01514,29.2673,0.5,Nei,9.8,13,Øst-Finnmark
33,2012,12466,Brettingen,,,,Ja,Nei,1573,SMØLA,15,Møre og Romsdal,63.3582,8.237267,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2012,13491,Bringberget,0.25,0.05,0,Nei,Ja,1612,HEMNE,16,Sør-Trøndelag,63.355484,9.133583,0.5,Nei,16.2,6,Nordmøre og Sør-Trøndelag
33,2012,29756,Bringenes,,,,Ja,Nei,1929,BERG,19,Troms,69.49388,17.551268,0.5,,,10,Andøya til Senja
33,2012,12237,Brudevika,0.02,0.37,0.13,Nei,Ja,1511,VANYLVEN,15,Møre og Romsdal,62.116566,5.420717,0.5,Nei,15.81,5,Stadt til Hustadvika
33,2012,13841,Brunsvik,3.14,3.65,0.05,Nei,Ja,1439,VÅGSØY,14,Sogn og Fjordane,61.910183,5.29085,0.5,Ja,13.49,4,Nordhordaland til Stadt
33,2012,11435,Bryggelandsholmane,,,,Ja,Nei,1106,HAUGESUND,11,Rogaland,59.429016,5.096417,0.5,,,3,Karmøy til Sotra
33,2012,31038,Buarøy,,,,Ja,Nei,1245,SUND,12,Hordaland,60.220066,5.21455,0.5,,,3,Karmøy til Sotra
33,2012,25655,Buholmen,0,0,10.3,Nei,Ja,1160,VINDAFJORD,11,Rogaland,59.562416,5.55465,0.5,Nei,16.1,3,Karmøy til Sotra
33,2012,11543,Buholmen Ø,,,,Ja,Nei,1244,AUSTEVOLL,12,Hordaland,60.0216,5.07985,0.5,,,3,Karmøy til Sotra
