Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
33,2024,15196,Aga Ø,ikke-medikamentell,termisk behandling,,,,,hele lokaliteten,4613,BØMLO,46,Vestland,59.845917,5.26075,3,Karmøy til Sotra,
33,2024,12067,Aldalen,ikke-medikamentell,ferskvannsbehandling,,,,,hele lokaliteten,4624,BJØRNAFJORDEN,46,Vestland,60.24995,5.571917,3,Karmøy til Sotra,
33,2024,12067,Aldalen,ikke-medikamentell,termisk behandling,,,,,hele lokaliteten,4624,BJØRNAFJORDEN,46,Vestland,60.24995,5.571917,3,Karmøy til Sotra,
33,2024,24695,Årnes,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,5007,NAMSOS,50,Trøndelag,64.59637,11.272917,7,Nord-Trøndelag med Bindal,3
33,2024,13209,Bognøy,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4631,ALVER,46,Vestland,60.604416,5.075833,4,Nordhordaland til Stadt,3
33,2024,37237,Børfjord,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,5616,HASVIK,56,Finnmark,70.64533,22.694317,12,Vest-Finnmark,3
33,2024,11015,Brattholmen,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,1818,HERØY I NORDLAND,18,Nordland,65.90735,12.220967,8,Helgeland til Bodø,2
33,2024,12594,Breidvika,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,5020,OSEN,50,Trøndelag,64.29718,10.393433,6,Nordmøre og Sør-Trøndelag,
33,2024,12466,Brettingen,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.3582,8.237267,6,Nordmøre og Sør-Trøndelag,3
33,2024,33537,Buholmen,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,5058,ÅFJORD,50,Trøndelag,64.1569,10.008917,6,Nordmøre og Sør-Trøndelag,2
33,2024,11087,Bukkøya Ø,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,1836,RØDØY,18,Nordland,66.64097,12.994583,8,Helgeland til Bodø,2
33,2024,11857,Buksevika,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,4207,FLEKKEFJORD,42,Agder,58.2079,6.636067,1,Svenskegrensen til Jæren,
33,2024,34018,Dolma N,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,5060,NÆRØYSUND,50,Trøndelag,65.02533,11.676017,7,Nord-Trøndelag med Bindal,5
33,2024,10803,Fjellbukt,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,5546,KVÆNANGEN,55,Troms,69.90414,21.875168,11,Kvaløya til Loppa,
33,2024,19115,Fugløya,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5056,HITRA,50,Trøndelag,63.475918,9.109833,6,Nordmøre og Sør-Trøndelag,1
33,2024,13058,Fusavika,ikke-medikamentell,ferskvannsbehandling,,,,,hele lokaliteten,4624,BJØRNAFJORDEN,46,Vestland,60.207733,5.613583,3,Karmøy til Sotra,
33,2024,13058,Fusavika,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,4624,BJØRNAFJORDEN,46,Vestland,60.207733,5.613583,3,Karmøy til Sotra,
33,2024,20897,Gisløy S,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1868,ØKSNES,18,Nordland,68.94144,15.30745,9,Vestfjorden og Vesterålen,
33,2024,24315,Gjæsingen,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,5058,ÅFJORD,50,Trøndelag,64.117615,9.981417,6,Nordmøre og Sør-Trøndelag,5
33,2024,25695,Gjerde,ikke-medikamentell,mekanisk behandling,,,,,hele lokaliteten,1516,ULSTEIN,15,Møre og Romsdal,62.259983,5.929183,5,Stadt til Hustadvika,0
33,2024,11690,Grasholmen,ikke-medikamentell,termisk behandling,,,,,hele lokaliteten,4631,ALVER,46,Vestland,60.595768,5.159717,4,Nordhordaland til Stadt,0
33,2024,12789,Gunnarøya,ikke-medikamentell,ferskvannsbehandling,,,,,deler av lokaliteten,5059,ORKLAND,50,Trøndelag,63.569485,9.467983,6,Nordmøre og Sør-Trøndelag,1
33,2024,39537,Gyltneset,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,5007,NAMSOS,50,Trøndelag,64.683815,11.36595,7,Nord-Trøndelag med Bindal,3
33,2024,16755,Hageberg,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,4615,FITJAR,46,Vestland,59.944218,5.434733,3,Karmøy til Sotra,4
33,2024,38777,Hallarvik,ikke-medikamentell,termisk behandling,,,,,deler av lokaliteten,5056,HITRA,50,Trøndelag,63.647266,8.699267,6,Nordmøre og Sør-Trøndelag,5
33,2024,36937,Hallvardsøya,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,5530,SENJA,55,Troms,69.15137,16.906532,10,Andøya til Senja,4
33,2024,10425,Heggvika,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,1811,BINDAL,18,Nordland,65.12658,12.071983,7,Nord-Trøndelag med Bindal,9
33,2024,45127,Hellerflesa,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,5060,NÆRØYSUND,50,Trøndelag,65.03512,11.730767,7,Nord-Trøndelag med Bindal,8
33,2024,13643,Hjartholm,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,4635,GULEN,46,Vestland,61.03512,5.33105,4,Nordhordaland til Stadt,3
33,2024,33957,Hofsøya,ikke-medikamentell,mekanisk behandling,,,,,deler av lokaliteten,5014,FRØYA,50,Trøndelag,63.7224,8.9145,6,Nordmøre og Sør-Trøndelag,3
33,2024,10536,Høgholmen,medikamentell,badebehandling,Azamethiphos,,,,deler av lokaliteten,5503,HARSTAD,55,Troms,69.031586,16.481867,10,Andøya til Senja,7
33,2024,45155,Holmskallen,ikke-medikamentell,termisk behandling,,,,,hele lokaliteten,1580,HARAM,15,Møre og Romsdal,62.854534,6.645283,5,Stadt til Hustadvika,
33,2024,33218,Hosenøyan,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,5058,ÅFJORD,50,Trøndelag,64.08518,9.884683,6,Nordmøre og Sør-Trøndelag,1
33,2024,38997,Ilsøya 2,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,5014,FRØYA,50,Trøndelag,63.664482,8.42935,6,Nordmøre og Sør-Trøndelag,1
33,2024,38997,Ilsøya 2,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,5014,FRØYA,50,Trøndelag,63.664482,8.42935,6,Nordmøre og Sør-Trøndelag,1
33,2024,38997,Ilsøya 2,ikke-medikamentell,annen behandling,,,,,deler av lokaliteten,5014,FRØYA,50,Trøndelag,63.664482,8.42935,6,Nordmøre og Sør-Trøndelag,1
