Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
33,2016,15196,Aga Ø,ikke-medikamentell,,,,,,deler av lokaliteten,1219,BØMLO,12,Hordaland,59.8451,5.261367,3,Karmøy til Sotra,
33,2016,32277,Andholmen 1,rensefisk,,,222120,Rognkjeks (hun),12570,hele lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.469784,7.8556,6,Nordmøre og Sør-Trøndelag,
33,2016,32277,Andholmen 1,rensefisk,,,1693,Bergnebb,16248,hele lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.469784,7.8556,6,Nordmøre og Sør-Trøndelag,
33,2016,32277,Andholmen 1,rensefisk,,,1694,Grøngylt,1,hele lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.469784,7.8556,6,Nordmøre og Sør-Trøndelag,
33,2016,32297,Andholmen 2,rensefisk,,,222120,Rognkjeks (hun),8319,hele lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.46745,7.847167,6,Nordmøre og Sør-Trøndelag,
33,2016,11364,Årberg,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1928,TORSKEN,19,Troms,69.1959,16.91595,10,Andøya til Senja,
33,2016,24695,Årnes,ikke-medikamentell,,,,,,deler av lokaliteten,1703,NAMSOS,17,Nord-Trøndelag,64.5961,11.273417,7,Nord-Trøndelag med Bindal,
33,2016,12988,Aukrasanden,rensefisk,,,1694,Grøngylt,21798,hele lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,5,Stadt til Hustadvika,
33,2016,12988,Aukrasanden,rensefisk,,,1693,Bergnebb,8552,hele lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,5,Stadt til Hustadvika,
33,2016,12988,Aukrasanden,rensefisk,,,1691,Berggylt,438,hele lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,5,Stadt til Hustadvika,
33,2016,12357,Aursøysva,ikke-medikamentell,,,,,,deler av lokaliteten,1620,FRØYA,16,Sør-Trøndelag,63.801968,8.910767,6,Nordmøre og Sør-Trøndelag,
33,2016,11800,Austneståa,ikke-medikamentell,,,,,,deler av lokaliteten,1401,FLORA,14,Sogn og Fjordane,61.490818,5.171167,4,Nordhordaland til Stadt,
33,2016,20396,Bergsnes V,ikke-medikamentell,,,,,,deler av lokaliteten,2012,ALTA,20,Finnmark,70.22971,23.336117,12,Vest-Finnmark,
33,2016,31317,Bjørkvik,medikamentell,badebehandling,Azamethiphos,,,,deler av lokaliteten,1850,TYSFJORD,18,Nordland,68.02925,16.131416,9,Vestfjorden og Vesterålen,
33,2016,31317,Bjørkvik,medikamentell,badebehandling,Azamethiphos,,,,deler av lokaliteten,1850,TYSFJORD,18,Nordland,68.02925,16.131416,9,Vestfjorden og Vesterålen,
33,2016,31317,Bjørkvik,medikamentell,badebehandling,Deltamethrin,,,,deler av lokaliteten,1850,TYSFJORD,18,Nordland,68.02925,16.131416,9,Vestfjorden og Vesterålen,
33,2016,31317,Bjørkvik,medikamentell,badebehandling,Deltamethrin,,,,deler av lokaliteten,1850,TYSFJORD,18,Nordland,68.02925,16.131416,9,Vestfjorden og Vesterålen,
33,2016,22455,Bjørlykkestranda,medikamentell,badebehandling,Annet virkestoff,,,,hele lokaliteten,1511,VANYLVEN,15,Møre og Romsdal,62.16655,5.5954,5,Stadt til Hustadvika,
33,2016,12308,Bjørndal,rensefisk,,,1694,Grøngylt,21567,hele lokaliteten,1520,ØRSTA,15,Møre og Romsdal,62.274883,6.00285,5,Stadt til Hustadvika,
33,2016,12308,Bjørndal,rensefisk,,,1691,Berggylt,1736,hele lokaliteten,1520,ØRSTA,15,Møre og Romsdal,62.274883,6.00285,5,Stadt til Hustadvika,
33,2016,23436,Bjørnholmen,medikamentell,badebehandling,Annet virkestoff,,,,deler av lokaliteten,1412,SOLUND,14,Sogn og Fjordane,61.20635,4.938083,4,Nordhordaland til Stadt,
33,2016,34997,Bjørnøya,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1804,BODØ,18,Nordland,67.4164,14.428667,9,Vestfjorden og Vesterålen,
33,2016,15796,Borgarliflot,rensefisk,,,1693,Bergnebb,8638,deler av lokaliteten,1134,SULDAL,11,Rogaland,59.3892,5.924733,2,Ryfylke,
33,2016,15796,Borgarliflot,rensefisk,,,1694,Grøngylt,3400,deler av lokaliteten,1134,SULDAL,11,Rogaland,59.3892,5.924733,2,Ryfylke,
33,2016,11015,Brattholmen,medikamentell,badebehandling,Annet virkestoff,,,,hele lokaliteten,1818,HERØY I NORDLAND,18,Nordland,65.90735,12.220967,8,Helgeland til Bodø,
33,2016,11015,Brattholmen,ikke-medikamentell,,,,,,deler av lokaliteten,1818,HERØY I NORDLAND,18,Nordland,65.90735,12.220967,8,Helgeland til Bodø,
33,2016,10223,Bremnessvaet,rensefisk,,,1693,Bergnebb,240,deler av lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.39795,8.214317,6,Nordmøre og Sør-Trøndelag,
33,2016,12466,Brettingen,rensefisk,,,1694,Grøngylt,677,deler av lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.3582,8.237267,6,Nordmøre og Sør-Trøndelag,
33,2016,12466,Brettingen,rensefisk,,,1693,Bergnebb,1821,deler av lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.3582,8.237267,6,Nordmøre og Sør-Trøndelag,
33,2016,12466,Brettingen,rensefisk,,,1691,Berggylt,114,deler av lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.3582,8.237267,6,Nordmøre og Sør-Trøndelag,
33,2016,12237,Brudevika,rensefisk,,,1694,Grøngylt,6320,deler av lokaliteten,1511,VANYLVEN,15,Møre og Romsdal,62.116566,5.420717,5,Stadt til Hustadvika,
33,2016,12237,Brudevika,rensefisk,,,1693,Bergnebb,1140,deler av lokaliteten,1511,VANYLVEN,15,Møre og Romsdal,62.116566,5.420717,5,Stadt til Hustadvika,
33,2016,12237,Brudevika,rensefisk,,,1691,Berggylt,60,deler av lokaliteten,1511,VANYLVEN,15,Møre og Romsdal,62.116566,5.420717,5,Stadt til Hustadvika,
33,2016,33537,Buholmen,ikke-medikamentell,,,,,,deler av lokaliteten,1632,ROAN,16,Sør-Trøndelag,64.1569,10.008917,6,Nordmøre og Sør-Trøndelag,
33,2016,11543,Buholmen,rensefisk,,,1692,Annen leppefisk,28635,hele lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.020916,5.081517,3,Karmøy til Sotra,
33,2016,11543,Buholmen,rensefisk,,,222120,Rognkjeks (hun),18888,hele lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.020916,5.081517,3,Karmøy til Sotra,
33,2016,27976,Bukkholmen,medikamentell,badebehandling,Annet virkestoff,,,,hele lokaliteten,1820,ALSTAHAUG,18,Nordland,65.9184,12.244683,8,Helgeland til Bodø,
33,2016,27976,Bukkholmen,ikke-medikamentell,,,,,,deler av lokaliteten,1820,ALSTAHAUG,18,Nordland,65.9184,12.244683,8,Helgeland til Bodø,
33,2016,12361,Bukkholmen S,rensefisk,,,1691,Berggylt,46,deler av lokaliteten,1620,FRØYA,16,Sør-Trøndelag,63.72368,8.8631,6,Nordmøre og Sør-Trøndelag,
33,2016,12361,Bukkholmen S,rensefisk,,,1693,Bergnebb,9621,deler av lokaliteten,1620,FRØYA,16,Sør-Trøndelag,63.72368,8.8631,6,Nordmøre og Sør-Trøndelag,
33,2016,12007,Dale II,rensefisk,,,1693,Bergnebb,7220,deler av lokaliteten,1142,RENNESØY,11,Rogaland,59.08215,5.71055,2,Ryfylke,
33,2016,12007,Dale II,rensefisk,,,1694,Grøngylt,8800,deler av lokaliteten,1142,RENNESØY,11,Rogaland,59.08215,5.71055,2,Ryfylke,
