Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
33,2013,15196,Aga Ø,,,,Ja,Nei,1219,BØMLO,12,Hordaland,59.8451,5.261367,0.5,,,3,Karmøy til Sotra
33,2013,12067,Aldalen,,,,Ja,Nei,1243,OS I HORDALAND,12,Hordaland,60.24995,5.571917,0.5,,,3,Karmøy til Sotra
33,2013,12982,Aldeøyna,0,0.15,0.15,Nei,Ja,1428,ASKVOLL,14,Sogn og Fjordane,61.31025,4.76905,0.5,Nei,15,4,Nordhordaland til Stadt
33,2013,11756,Allersholmen,0.05,0.1,0,Nei,Ja,1264,AUSTRHEIM,12,Hordaland,60.77465,4.8536,0.5,Nei,14.2,4,Nordhordaland til Stadt
33,2013,13271,Almurden,,,,Ja,Nei,1749,FLATANGER,17,Nord-Trøndelag,64.434006,10.683713,0.5,,,7,Nord-Trøndelag med Bindal
33,2013,11416,Alsvåg,,,,Ja,Nei,1868,ØKSNES,18,Nordland,68.90258,15.2862,0.5,,,9,Vestfjorden og Vesterålen
33,2013,12086,Alsåkervik,,,,Nei,Nei,1224,KVINNHERAD,12,Hordaland,59.7601,6.074183,0.5,,16.47,3,Karmøy til Sotra
33,2013,13227,Altaneset,0,0.44,0.18,Nei,Ja,1241,FUSA,12,Hordaland,60.247116,5.63475,0.5,Nei,7.5,3,Karmøy til Sotra
33,2013,11179,Alterosen,,,,Nei,Nei,1865,VÅGAN,18,Nordland,68.20734,14.446733,0.5,,13,9,Vestfjorden og Vesterålen
33,2013,11513,Andal,0.07,0.37,0.1,Nei,Ja,1219,BØMLO,12,Hordaland,59.63655,5.2466,0.5,Nei,16.5,3,Karmøy til Sotra
33,2013,13108,Andalsvågen,,,,Ja,Nei,1816,VEVELSTAD,18,Nordland,65.57322,12.389317,0.5,,,8,Helgeland til Bodø
33,2013,32277,Andholmen 1,0,0.05,0,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.469784,7.8556,0.5,Nei,13.8,6,Nordmøre og Sør-Trøndelag
33,2013,32297,Andholmen 2,0,0.02,0,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.46745,7.847167,0.5,Nei,14.3,6,Nordmøre og Sør-Trøndelag
33,2013,33257,Andreggrunnen,,,,Ja,Nei,1141,FINNØY,11,Rogaland,59.238884,5.740617,0.5,,,2,Ryfylke
33,2013,30156,Anevik,0.08,0.14,0,Nei,Ja,1848,STEIGEN,18,Nordland,68.00592,15.264333,0.5,Nei,14,9,Vestfjorden og Vesterålen
33,2013,13563,Angelskår,,,,Ja,Nei,1253,OSTERØY,12,Hordaland,60.525784,5.357133,0.5,,10.9,4,Nordhordaland til Stadt
33,2013,13518,Angstauren,0,0,0,Nei,Ja,1902,TROMSØ,19,Troms,69.695335,18.170267,0.5,Nei,12.2,11,Kvaløya til Loppa
33,2013,29816,Apalvikneset,0.2,0.2,0,Nei,Ja,1224,KVINNHERAD,12,Hordaland,60.145584,6.120467,0.5,Nei,16.21,3,Karmøy til Sotra
33,2013,12085,Aplavika,0,0.04,0,Nei,Ja,1238,KVAM,12,Hordaland,60.25865,6.055333,0.5,Nei,16.2,3,Karmøy til Sotra
33,2013,11119,Arnøysundet,0,0.01,0,Nei,Ja,1838,GILDESKÅL,18,Nordland,67.14978,13.991,0.5,Nei,12.8,8,Helgeland til Bodø
33,2013,10960,Aspviksundet,0.03,0.08,0.13,Nei,Ja,1820,ALSTAHAUG,18,Nordland,65.86287,12.624533,0.5,Nei,14.2,8,Helgeland til Bodø
33,2013,11942,Aspøy Nv,,,,Ja,Nei,1102,SANDNES,11,Rogaland,58.93247,5.988867,0.5,,,2,Ryfylke
33,2013,11938,Aspøy Ø,,,,Ja,Nei,1102,SANDNES,11,Rogaland,58.93025,5.99725,0.5,,,2,Ryfylke
33,2013,12668,Astridholmen,,,,Ja,Nei,1751,NÆRØY,17,Nord-Trøndelag,64.80798,11.542583,0.5,,,7,Nord-Trøndelag med Bindal
33,2013,20496,Atlatveit,,,,Ja,Nei,1141,FINNØY,11,Rogaland,59.227734,5.984233,0.5,,,2,Ryfylke
33,2013,14016,Auenes,0,0,0,Nei,Ja,0926,LILLESAND,09,Aust-Agder,58.140266,8.2553,0.5,Nei,16.8,1,Svenskegrensen til Jæren
33,2013,13254,Aukan,,,,Nei,Nei,1554,AVERØY,15,Møre og Romsdal,63.0603,7.594283,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2013,32077,Aukan,,,,Ja,Nei,1576,AURE,15,Møre og Romsdal,63.162266,8.309633,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2013,12988,Aukrasanden,0.01,0.31,0.29,Nei,Ja,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,0.5,Nei,14.79,5,Stadt til Hustadvika
33,2013,10870,Aunholmen Ø,,,,Ja,Nei,1816,VEVELSTAD,18,Nordland,65.70697,12.621217,0.5,,,8,Helgeland til Bodø
33,2013,12357,Aursøysva,,,,Ja,Nei,1620,FRØYA,16,Sør-Trøndelag,63.80015,8.906083,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2013,10275,Auskarnes Ø,0.27,0.43,0,Nei,Ja,2014,LOPPA,20,Finnmark,70.14145,22.3542,0.5,Nei,10.4,12,Vest-Finnmark
33,2013,11800,Austneståa,,,,Ja,Nei,1401,FLORA,14,Sogn og Fjordane,61.49072,5.169133,0.5,,,4,Nordhordaland til Stadt
33,2013,26795,Austvika,0,0,0,Nei,Ja,1749,FLATANGER,17,Nord-Trøndelag,64.41853,10.696033,0.5,Nei,12.06,7,Nord-Trøndelag med Bindal
33,2013,13572,Badstuvika,0.1,0.47,0.02,Nei,Ja,1617,HITRA,16,Sør-Trøndelag,63.53398,9.1469,0.5,Nei,11.9,6,Nordmøre og Sør-Trøndelag
33,2013,13341,Bakjestranda,0.7,1,0.04,Nei,Ja,1438,BREMANGER,14,Sogn og Fjordane,61.81885,4.940267,0.5,Ja,14.8,4,Nordhordaland til Stadt
33,2013,19395,Bakka,,,,Ja,Nei,1238,KVAM,12,Hordaland,60.23498,6.006217,0.5,,,3,Karmøy til Sotra
33,2013,10283,Baklia,,,,Ja,Nei,2019,NORDKAPP,20,Finnmark,70.97432,25.838717,0.5,,,12,Vest-Finnmark
33,2013,32537,Baltsfjord,,,,Ja,Nei,1931,LENVIK,19,Troms,69.5463,17.7697,0.5,,,10,Andøya til Senja
33,2013,13305,Barbogen,0.5,7,3,Nei,Ja,1928,TORSKEN,19,Troms,69.36843,17.0281,0.5,Ja,12.5,10,Andøya til Senja
33,2013,13873,Barlingebotten,,,,Ja,Nei,1266,MASFJORDEN,12,Hordaland,60.863083,5.364017,0.5,,,4,Nordhordaland til Stadt
33,2013,31877,Barøya,0.03,0.32,0.05,Nei,Ja,1703,NAMSOS,17,Nord-Trøndelag,64.6206,11.233183,0.5,Nei,12.5,7,Nord-Trøndelag med Bindal
33,2013,18235,Bastli,0.23,0.4,0,Nei,Ja,1133,HJELMELAND,11,Rogaland,59.2694,6.193083,0.5,Nei,17.44,2,Ryfylke
33,2013,13845,Beitveit,0.26,0.6,0,Nei,Ja,1441,SELJE,14,Sogn og Fjordane,62.141216,5.32675,0.5,Nei,13.4,5,Stadt til Hustadvika
33,2013,25055,Bekksneset,,,,Ja,Nei,1413,HYLLESTAD,14,Sogn og Fjordane,61.07662,5.38595,0.5,,,4,Nordhordaland til Stadt
33,2013,12095,Bergadalen,0,0.1,0,Nei,Ja,1238,KVAM,12,Hordaland,60.1216,5.908883,0.5,Nei,16.6,3,Karmøy til Sotra
33,2013,27295,Bergneset N,,,,Ja,Nei,1612,HEMNE,16,Sør-Trøndelag,63.32495,9.109805,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2013,20396,Bergsnes V,0.07,0.13,0.03,Nei,Ja,2012,ALTA,20,Finnmark,70.22971,23.336117,0.5,Nei,12,12,Vest-Finnmark
33,2013,13872,Bergsvik,0.21,0.28,0.2,Nei,Ja,1266,MASFJORDEN,12,Hordaland,60.86295,5.3474,0.5,Nei,16,4,Nordhordaland til Stadt
33,2013,30397,Bergsøy,,,,Ja,Nei,1848,STEIGEN,18,Nordland,67.89719,15.158883,0.5,,,9,Vestfjorden og Vesterålen
33,2013,11241,Bergvikodden,0,0.3,0,Nei,Ja,1866,HADSEL,18,Nordland,68.57475,14.850883,0.5,Nei,13.2,9,Vestfjorden og Vesterålen
33,2013,27556,Beøya,,,,Ja,Nei,1617,HITRA,16,Sør-Trøndelag,63.663666,8.847783,0.5,,,6,Nordmøre og Sør-Trøndelag
33,2013,11930,Bjelkavik,,,,Ja,Nei,1134,SULDAL,11,Rogaland,59.45165,5.991917,0.5,,,2,Ryfylke
33,2013,12178,Bjønnspjotneset,,,,Ja,Nei,1416,HØYANGER,14,Sogn og Fjordane,61.0985,5.825533,0.5,,,4,Nordhordaland til Stadt
33,2013,31738,Bjørga,0,0.18,0.23,Nei,Ja,1925,SØRREISA,19,Troms,69.151436,17.9562,0.5,Nei,12,10,Andøya til Senja
33,2013,12625,Bjørgan,0.01,0.04,0.05,Nei,Ja,1749,FLATANGER,17,Nord-Trøndelag,64.59268,10.908333,0.5,Nei,11.54,7,Nord-Trøndelag med Bindal
33,2013,31317,Bjørkvik,0.01,1.19,0.03,Nei,Ja,1850,TYSFJORD,18,Nordland,68.02925,16.131416,0.5,Nei,14,9,Vestfjorden og Vesterålen
33,2013,22455,Bjørlykkestranda,0,0.02,0.04,Nei,Ja,1511,VANYLVEN,15,Møre og Romsdal,62.16655,5.5954,0.5,Nei,14.04,5,Stadt til Hustadvika
33,2013,12308,Bjørndal,0.08,0.09,0,Nei,Ja,1520,ØRSTA,15,Møre og Romsdal,62.274883,6.00285,0.5,Nei,15,5,Stadt til Hustadvika
33,2013,23436,Bjørnholmen,,,,Ja,Nei,1412,SOLUND,14,Sogn og Fjordane,61.20625,4.936283,0.5,,,4,Nordhordaland til Stadt
33,2013,25975,Bjørnskjæret,,,,Ja,Nei,1755,LEKA,17,Nord-Trøndelag,65.038506,11.459672,0.5,,,7,Nord-Trøndelag med Bindal
33,2013,11340,Bjørnstein,0.07,0.27,0.08,Nei,Ja,1917,IBESTAD,19,Troms,68.892365,17.110233,0.5,Nei,12.6,10,Andøya til Senja
33,2013,11274,Bjørnsvik,0.1,0.05,0,Nei,Ja,1845,SØRFOLD,18,Nordland,67.533035,15.386383,0.5,Nei,14.09,9,Vestfjorden og Vesterålen
33,2013,32957,Bjørshammaren,,,,Ja,Nei,1822,LEIRFJORD,18,Nordland,66.14032,12.91035,0.5,,,8,Helgeland til Bodø
33,2013,10964,Blokkholmen,,,,Ja,Nei,1834,LURØY,18,Nordland,66.37265,12.553267,0.5,,,8,Helgeland til Bodø
33,2013,12156,Blom,0,0.03,0,Nei,Ja,1253,OSTERØY,12,Hordaland,60.436584,5.564833,0.5,Nei,13.4,4,Nordhordaland til Stadt
33,2013,31857,Blomsøråsa,,,,Ja,Nei,1820,ALSTAHAUG,18,Nordland,65.85685,12.31285,0.5,,,8,Helgeland til Bodø
33,2013,29458,Blåmannsvik,0,0.1,0,Nei,Ja,1902,TROMSØ,19,Troms,69.73064,18.653584,0.5,Nei,12.8,11,Kvaløya til Loppa
33,2013,19255,Blåsenborgneset,,,,Ja,Nei,2030,SØR-VARANGER,20,Finnmark,69.73305,30.1079,0.5,,,13,Øst-Finnmark
33,2013,11399,Bogelva,,,,Ja,Nei,1911,KVÆFJORD,19,Troms,68.6565,15.90035,0.5,,,10,Andøya til Senja
33,2013,10212,Bogen,,,,Nei,Nei,1505,KRISTIANSUND,15,Møre og Romsdal,63.077667,7.90345,0.5,,12.1,6,Nordmøre og Sør-Trøndelag
33,2013,12252,Bogen Md,,,,Ja,Nei,1545,MIDSUND,15,Møre og Romsdal,62.69082,6.868767,0.5,,,5,Stadt til Hustadvika
33,2013,13209,Bognøy,,,,Ja,Nei,1260,RADØY,12,Hordaland,60.60407,5.076983,0.5,,,4,Nordhordaland til Stadt
33,2013,13284,Bollhaugen,0.03,0.07,0,Nei,Ja,1827,DØNNA,18,Nordland,66.1125,12.4868,0.5,Nei,12.9,8,Helgeland til Bodø
33,2013,13143,Bondejorda,0,0,0,Nei,Ja,2022,LEBESBY,20,Finnmark,70.81695,27.563717,0.5,Nei,12.4,12,Vest-Finnmark
33,2013,10256,Bondøya,0.82,3.44,0.84,Nei,Ja,1750,VIKNA,17,Nord-Trøndelag,64.81715,10.7425,0.5,Ja,13.3,7,Nord-Trøndelag med Bindal
33,2013,11248,Bonhammaren,0.25,0.62,0.02,Nei,Ja,1867,BØ I NORDLAND,18,Nordland,68.81738,14.7101,0.5,Nei,11.6,9,Vestfjorden og Vesterålen
33,2013,15796,Borgarliflot,0,0,0,Nei,Ja,1134,SULDAL,11,Rogaland,59.388035,5.929283,0.5,Nei,17.4,2,Ryfylke
33,2013,13747,Bragstadsundet III,,,,Ja,Nei,1748,FOSNES,17,Nord-Trøndelag,64.686325,11.257278,0.5,,,7,Nord-Trøndelag med Bindal
33,2013,12040,Brandaskuta,0.25,1.02,0.18,Nei,Ja,1224,KVINNHERAD,12,Hordaland,59.977615,5.912417,0.5,Nei,16.6,3,Karmøy til Sotra
33,2013,11488,Brattavika,,,,Ja,Nei,1244,AUSTEVOLL,12,Hordaland,60.045433,5.301117,0.5,,,3,Karmøy til Sotra
