Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
33,2021,15196,Aga Ø,0.1,0.3,0.17,Nei,Ja,4613,BØMLO,46,Vestland,59.845917,5.26075,0.5,Nei,15.59,3,Karmøy til Sotra
33,2021,12067,Aldalen,0.16,0.56,0.04,Nei,Ja,4624,BJØRNAFJORDEN,46,Vestland,60.24995,5.571917,0.5,Nei,16.14,3,Karmøy til Sotra
33,2021,12982,Aldeøyna,0.4,1.07,0,Nei,Ja,4645,ASKVOLL,46,Vestland,61.31055,4.767783,0.5,Nei,16,4,Nordhordaland til Stadt
33,2021,11756,Allersholmen,0,0.33,0.2,Nei,Ja,4632,AUSTRHEIM,46,Vestland,60.774868,4.853533,0.5,Nei,15.7,4,Nordhordaland til Stadt
33,2021,45078,Almbakkevika,,,,Ja,Nei,4602,KINN,46,Vestland,61.620335,5.271967,0.5,,,4,Nordhordaland til Stadt
33,2021,13271,Almurden,0.03,0.09,0.06,Nei,Ja,5049,FLATANGER,50,Trøndelag,64.43353,10.678883,0.5,Nei,12.82,7,Nord-Trøndelag med Bindal
33,2021,11416,Alsvåg,,,,Ja,Nei,1868,ØKSNES,18,Nordland,68.9027,15.28675,0.5,,,9,Vestfjorden og Vesterålen
33,2021,12086,Alsåkervik,0.23,0.59,0,Nei,Ja,4617,KVINNHERAD,46,Vestland,59.759518,6.072883,0.5,Nei,15.6,3,Karmøy til Sotra
33,2021,13227,Altaneset,0.16,0.63,0.05,Nei,Ja,4624,BJØRNAFJORDEN,46,Vestland,60.24815,5.6368,0.5,Nei,17.06,3,Karmøy til Sotra
33,2021,11179,Alterosen,0,0.2,0,Nei,Ja,1865,VÅGAN,18,Nordland,68.20737,14.446867,0.5,Nei,14,9,Vestfjorden og Vesterålen
33,2021,11513,Andal,0.04,0.06,0.04,Nei,Ja,4613,BØMLO,46,Vestland,59.636482,5.247117,0.5,Nei,14,3,Karmøy til Sotra
33,2021,38037,Andalsvågen I,0,0,0,Nei,Ja,1816,VEVELSTAD,18,Nordland,65.5826,12.4032,0.5,Nei,11.06,8,Helgeland til Bodø
33,2021,32277,Andholmen 1,0.48,1.42,0.06,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.469215,7.8523,0.5,Nei,14.3,6,Nordmøre og Sør-Trøndelag
33,2021,30156,Anevik,0.43,0.73,0.07,Nei,Ja,1848,STEIGEN,18,Nordland,68.00592,15.264333,0.5,Nei,12.5,9,Vestfjorden og Vesterålen
33,2021,13563,Angelskår,,,,Ja,Nei,4630,OSTERØY,46,Vestland,60.523335,5.352617,0.5,,,4,Nordhordaland til Stadt
33,2021,13518,Angstauren,,,,Ja,Nei,5401,TROMSØ,54,Troms og Finnmark,69.695335,18.170267,0.5,,,11,Kvaløya til Loppa
33,2021,29816,Apalvikneset,,,,Ja,Nei,4618,ULLENSVANG,46,Vestland,60.146217,6.121133,0.5,,,3,Karmøy til Sotra
33,2021,14016,Auenes,0,0,0,Nei,Ja,4215,LILLESAND,42,Agder,58.140266,8.2553,0.5,Nei,17.6,1,Svenskegrensen til Jæren
33,2021,45087,Aukan,0.04,0.06,0,Nei,Ja,1554,AVERØY,15,Møre og Romsdal,63.0603,7.594283,0.5,Nei,14.71,6,Nordmøre og Sør-Trøndelag
33,2021,12988,Aukrasanden,2.7,2.88,0.13,Nei,Ja,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,0.5,Ja,14.71,5,Stadt til Hustadvika
33,2021,12357,Aursøysva,,,,Ja,Nei,5014,FRØYA,50,Trøndelag,63.801968,8.910767,0.5,,13.5,6,Nordmøre og Sør-Trøndelag
33,2021,10275,Auskarnes Ø,,,,Ja,Nei,5432,LOPPA,54,Troms og Finnmark,70.14145,22.3542,0.5,,,12,Vest-Finnmark
33,2021,11800,Austneståa,,,,Ja,Nei,4602,KINN,46,Vestland,61.490818,5.171167,0.5,,15.79,4,Nordhordaland til Stadt
