Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
33,2015,12067,Aldalen,rensefisk,,,1691,Berggylt,1516,deler av lokaliteten,1243,OS I HORDALAND,12,Hordaland,60.24995,5.571917,3,Karmøy til Sotra,
33,2015,11513,Andal,rensefisk,,,1693,Bergnebb,711,hele lokaliteten,1219,BØMLO,12,Hordaland,59.6365,5.247133,3,Karmøy til Sotra,
33,2015,11513,Andal,rensefisk,,,1694,Grøngylt,721,hele lokaliteten,1219,BØMLO,12,Hordaland,59.6365,5.247133,3,Karmøy til Sotra,
33,2015,32277,Andholmen 1,rensefisk,,,1691,Berggylt,3166,hele lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.469784,7.8556,6,Nordmøre og Sør-Trøndelag,
33,2015,32277,Andholmen 1,rensefisk,,,222120,Rognkjeks (hun),25439,hele lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.469784,7.8556,6,Nordmøre og Sør-Trøndelag,
33,2015,12988,Aukrasanden,medikamentell,badebehandling,Azamethiphos,,,,deler av lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,5,Stadt til Hustadvika,
33,2015,12988,Aukrasanden,medikamentell,badebehandling,Deltamethrin,,,,deler av lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,5,Stadt til Hustadvika,
33,2015,22455,Bjørlykkestranda,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1511,VANYLVEN,15,Møre og Romsdal,62.16655,5.5954,5,Stadt til Hustadvika,
33,2015,12308,Bjørndal,rensefisk,,,1694,Grøngylt,2854,hele lokaliteten,1520,ØRSTA,15,Møre og Romsdal,62.274883,6.00285,5,Stadt til Hustadvika,
33,2015,12308,Bjørndal,rensefisk,,,1691,Berggylt,3655,hele lokaliteten,1520,ØRSTA,15,Møre og Romsdal,62.274883,6.00285,5,Stadt til Hustadvika,
33,2015,10212,Bogen,rensefisk,,,1691,Berggylt,1570,hele lokaliteten,1505,KRISTIANSUND,15,Møre og Romsdal,63.077667,7.90345,6,Nordmøre og Sør-Trøndelag,
33,2015,10212,Bogen,rensefisk,,,1694,Grøngylt,6767,hele lokaliteten,1505,KRISTIANSUND,15,Møre og Romsdal,63.077667,7.90345,6,Nordmøre og Sør-Trøndelag,
33,2015,10212,Bogen,rensefisk,,,1693,Bergnebb,5754,hele lokaliteten,1505,KRISTIANSUND,15,Møre og Romsdal,63.077667,7.90345,6,Nordmøre og Sør-Trøndelag,
33,2015,10256,Bondøya,rensefisk,,,1693,Bergnebb,14473,deler av lokaliteten,1750,VIKNA,17,Nord-Trøndelag,64.81715,10.7425,7,Nord-Trøndelag med Bindal,
33,2015,13841,Brunsvik,rensefisk,,,1694,Grøngylt,365,deler av lokaliteten,1439,VÅGSØY,14,Sogn og Fjordane,61.910183,5.29085,4,Nordhordaland til Stadt,
33,2015,13841,Brunsvik,rensefisk,,,1693,Bergnebb,4426,deler av lokaliteten,1439,VÅGSØY,14,Sogn og Fjordane,61.910183,5.29085,4,Nordhordaland til Stadt,
33,2015,13841,Brunsvik,rensefisk,,,1691,Berggylt,22,deler av lokaliteten,1439,VÅGSØY,14,Sogn og Fjordane,61.910183,5.29085,4,Nordhordaland til Stadt,
33,2015,11435,Bryggelandsholmane,rensefisk,,,1692,Annen leppefisk,10000,hele lokaliteten,1106,HAUGESUND,11,Rogaland,59.429016,5.096417,3,Karmøy til Sotra,
33,2015,33537,Buholmen,rensefisk,,,1693,Bergnebb,9526,hele lokaliteten,1632,ROAN,16,Sør-Trøndelag,64.1569,10.008917,6,Nordmøre og Sør-Trøndelag,
33,2015,11543,Buholmen Ø,rensefisk,,,1691,Berggylt,724,deler av lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.020782,5.07965,3,Karmøy til Sotra,
33,2015,11543,Buholmen Ø,rensefisk,,,1693,Bergnebb,2350,deler av lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.020782,5.07965,3,Karmøy til Sotra,
33,2015,11543,Buholmen Ø,rensefisk,,,1692,Annen leppefisk,684,deler av lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.020782,5.07965,3,Karmøy til Sotra,
33,2015,11543,Buholmen Ø,rensefisk,,,1694,Grøngylt,6984,deler av lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.020782,5.07965,3,Karmøy til Sotra,
33,2015,12361,Bukkholmen S,rensefisk,,,1691,Berggylt,75,deler av lokaliteten,1620,FRØYA,16,Sør-Trøndelag,63.72368,8.8631,6,Nordmøre og Sør-Trøndelag,
33,2015,12361,Bukkholmen S,rensefisk,,,1694,Grøngylt,6675,deler av lokaliteten,1620,FRØYA,16,Sør-Trøndelag,63.72368,8.8631,6,Nordmøre og Sør-Trøndelag,
33,2015,13229,Djupedalen,rensefisk,,,1692,Annen leppefisk,1720,deler av lokaliteten,1241,FUSA,12,Hordaland,60.230865,5.6733,3,Karmøy til Sotra,
33,2015,14799,Djupestallen,rensefisk,,,1691,Berggylt,275,deler av lokaliteten,1223,TYSNES,12,Hordaland,60.058735,5.453,3,Karmøy til Sotra,
33,2015,14799,Djupestallen,rensefisk,,,1694,Grøngylt,710,deler av lokaliteten,1223,TYSNES,12,Hordaland,60.058735,5.453,3,Karmøy til Sotra,
33,2015,14799,Djupestallen,rensefisk,,,1693,Bergnebb,197,deler av lokaliteten,1223,TYSNES,12,Hordaland,60.058735,5.453,3,Karmøy til Sotra,
33,2015,14799,Djupestallen,rensefisk,,,1692,Annen leppefisk,185,deler av lokaliteten,1223,TYSNES,12,Hordaland,60.058735,5.453,3,Karmøy til Sotra,
33,2015,32197,Dryna,rensefisk,,,1694,Grøngylt,7455,hele lokaliteten,1545,MIDSUND,15,Møre og Romsdal,62.6444,6.5568,5,Stadt til Hustadvika,
33,2015,32197,Dryna,rensefisk,,,1693,Bergnebb,2686,hele lokaliteten,1545,MIDSUND,15,Møre og Romsdal,62.6444,6.5568,5,Stadt til Hustadvika,
33,2015,32197,Dryna,rensefisk,,,1691,Berggylt,477,hele lokaliteten,1545,MIDSUND,15,Møre og Romsdal,62.6444,6.5568,5,Stadt til Hustadvika,
33,2015,12128,Dyrnes,rensefisk,,,1692,Annen leppefisk,5000,hele lokaliteten,1224,KVINNHERAD,12,Hordaland,59.71765,5.72205,3,Karmøy til Sotra,
33,2015,12033,Dysvik,rensefisk,,,1694,Grøngylt,1118,deler av lokaliteten,1238,KVAM,12,Hordaland,60.191017,5.967617,3,Karmøy til Sotra,
33,2015,12033,Dysvik,rensefisk,,,1693,Bergnebb,1119,deler av lokaliteten,1238,KVAM,12,Hordaland,60.191017,5.967617,3,Karmøy til Sotra,
33,2015,13711,Dyvika,rensefisk,,,1694,Grøngylt,1251,hele lokaliteten,1428,ASKVOLL,14,Sogn og Fjordane,61.478584,5.375967,4,Nordhordaland til Stadt,
33,2015,13711,Dyvika,rensefisk,,,1692,Annen leppefisk,8,hele lokaliteten,1428,ASKVOLL,14,Sogn og Fjordane,61.478584,5.375967,4,Nordhordaland til Stadt,
33,2015,13711,Dyvika,rensefisk,,,1693,Bergnebb,587,hele lokaliteten,1428,ASKVOLL,14,Sogn og Fjordane,61.478584,5.375967,4,Nordhordaland til Stadt,
33,2015,13711,Dyvika,rensefisk,,,1691,Berggylt,188,hele lokaliteten,1428,ASKVOLL,14,Sogn og Fjordane,61.478584,5.375967,4,Nordhordaland til Stadt,
33,2015,14041,Edøya,rensefisk,,,1693,Bergnebb,14735,hele lokaliteten,1617,HITRA,16,Sør-Trøndelag,63.65835,8.694417,6,Nordmøre og Sør-Trøndelag,
33,2015,14041,Edøya,rensefisk,,,222120,Rognkjeks (hun),16000,hele lokaliteten,1617,HITRA,16,Sør-Trøndelag,63.65835,8.694417,6,Nordmøre og Sør-Trøndelag,
33,2015,30137,Edøya II,rensefisk,,,1694,Grøngylt,17769,hele lokaliteten,1617,HITRA,16,Sør-Trøndelag,63.65805,8.683667,6,Nordmøre og Sør-Trøndelag,
33,2015,30137,Edøya II,rensefisk,,,1691,Berggylt,1304,hele lokaliteten,1617,HITRA,16,Sør-Trøndelag,63.65805,8.683667,6,Nordmøre og Sør-Trøndelag,
33,2015,12879,Endresetbukta,rensefisk,,,1694,Grøngylt,22355,hele lokaliteten,1505,KRISTIANSUND,15,Møre og Romsdal,63.03018,7.71615,6,Nordmøre og Sør-Trøndelag,
