Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Trolig uten fisk,Har telt lakselus,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,Lusegrense uke,Over lusegrense uke,Sjøtemperatur,ProduksjonsområdeId,Produksjonsområde
33,2017,15196,Aga Ø,0,0,0,Nei,Ja,1219,BØMLO,12,Hordaland,59.8451,5.261367,0.5,Nei,15,3,Karmøy til Sotra
33,2017,12067,Aldalen,0.01,0.06,0.03,Nei,Ja,1243,OS I HORDALAND,12,Hordaland,60.24995,5.571917,0.5,Nei,10,3,Karmøy til Sotra
33,2017,12982,Aldeøyna,0.15,0.3,0,Nei,Ja,1428,ASKVOLL,14,Sogn og Fjordane,61.31025,4.76905,0.5,Nei,17,4,Nordhordaland til Stadt
33,2017,11756,Allersholmen,,,,Ja,Nei,1264,AUSTRHEIM,12,Hordaland,60.77465,4.8536,0.5,,,4,Nordhordaland til Stadt
33,2017,13271,Almurden,,,,Ja,Nei,1749,FLATANGER,17,Nord-Trøndelag,64.433235,10.68095,0.5,,,7,Nord-Trøndelag med Bindal
33,2017,11416,Alsvåg,,,,Ja,Nei,1868,ØKSNES,18,Nordland,68.9027,15.28675,0.5,,,9,Vestfjorden og Vesterålen
33,2017,12086,Alsåkervik,0.03,0.02,0,Nei,Ja,1224,KVINNHERAD,12,Hordaland,59.7601,6.074183,0.5,Nei,14.5,3,Karmøy til Sotra
33,2017,13227,Altaneset,0.01,0.03,0,Nei,Ja,1241,FUSA,12,Hordaland,60.247116,5.63475,0.5,Nei,15.7,3,Karmøy til Sotra
33,2017,11179,Alterosen,0.16,0,0,Nei,Ja,1865,VÅGAN,18,Nordland,68.20737,14.446867,0.5,Nei,13.1,9,Vestfjorden og Vesterålen
33,2017,11513,Andal,0.01,0.08,0.03,Nei,Ja,1219,BØMLO,12,Hordaland,59.636333,5.247717,0.5,Nei,15.8,3,Karmøy til Sotra
33,2017,32277,Andholmen 1,0.25,0.33,0.05,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.469784,7.8556,0.5,Nei,14.4,6,Nordmøre og Sør-Trøndelag
33,2017,32297,Andholmen 2,0.32,0.5,0,Nei,Ja,1573,SMØLA,15,Møre og Romsdal,63.46745,7.847167,0.5,Nei,14.5,6,Nordmøre og Sør-Trøndelag
