Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
33,2023,13271,Almurden,ikke-medikamentell,,,,,,hele lokaliteten,5049,FLATANGER,50,Trøndelag,64.43353,10.678883,7,Nord-Trøndelag med Bindal,
33,2023,11179,Alterosen,medikamentell,badebehandling,Azamethiphos,,,,hele lokaliteten,1865,VÅGAN,18,Nordland,68.20737,14.446867,9,Vestfjorden og Vesterålen,
33,2023,12988,Aukrasanden,ikke-medikamentell,,,,,,hele lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.783417,6.92605,5,Stadt til Hustadvika,
33,2023,10862,Båsen,ikke-medikamentell,,,,,,deler av lokaliteten,1811,BINDAL,18,Nordland,65.11767,12.321467,7,Nord-Trøndelag med Bindal,
33,2023,12625,Bjørgan,ikke-medikamentell,,,,,,deler av lokaliteten,5049,FLATANGER,50,Trøndelag,64.59268,10.908333,7,Nord-Trøndelag med Bindal,
33,2023,10212,Bogen,ikke-medikamentell,,,,,,deler av lokaliteten,1505,KRISTIANSUND,15,Møre og Romsdal,63.076782,7.9046,6,Nordmøre og Sør-Trøndelag,
33,2023,13143,Bondejorda,ikke-medikamentell,,,,,,deler av lokaliteten,5438,LEBESBY,54,Troms og Finnmark,70.81695,27.563717,12,Vest-Finnmark,
33,2023,10256,Bondøya,ikke-medikamentell,,,,,,deler av lokaliteten,5060,NÆRØYSUND,50,Trøndelag,64.8168,10.7427,7,Nord-Trøndelag med Bindal,
33,2023,11015,Brattholmen,ikke-medikamentell,,,,,,deler av lokaliteten,1818,HERØY I NORDLAND,18,Nordland,65.90735,12.220967,8,Helgeland til Bodø,
33,2023,36118,Bremnesøya,ikke-medikamentell,,,,,,hele lokaliteten,1870,SORTLAND,18,Nordland,68.82377,15.400217,9,Vestfjorden og Vesterålen,
33,2023,34197,Brennholmen,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1818,HERØY I NORDLAND,18,Nordland,65.978714,12.16355,8,Helgeland til Bodø,
33,2023,11543,Buholmen,ikke-medikamentell,,,,,,deler av lokaliteten,4625,AUSTEVOLL,46,Vestland,60.020466,5.080083,3,Karmøy til Sotra,
33,2023,11087,Bukkøya Ø,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1836,RØDØY,18,Nordland,66.64097,12.994583,8,Helgeland til Bodø,
33,2023,22035,Buktodden Nø,ikke-medikamentell,,,,,,deler av lokaliteten,1833,RANA,18,Nordland,66.30817,13.432333,8,Helgeland til Bodø,
33,2023,30097,Djupvik,ikke-medikamentell,,,,,,deler av lokaliteten,1836,RØDØY,18,Nordland,66.73299,13.33115,8,Helgeland til Bodø,
33,2023,39597,Gåsflestaren,ikke-medikamentell,,,,,,hele lokaliteten,1811,BINDAL,18,Nordland,65.25203,11.5664,7,Nord-Trøndelag med Bindal,
33,2023,20897,Gisløy S,ikke-medikamentell,,,,,,deler av lokaliteten,1868,ØKSNES,18,Nordland,68.94144,15.30745,9,Vestfjorden og Vesterålen,
33,2023,33617,Gjerde,ikke-medikamentell,,,,,,deler av lokaliteten,1576,AURE,15,Møre og Romsdal,63.299667,8.418333,6,Nordmøre og Sør-Trøndelag,
33,2023,32037,Grasholman,ikke-medikamentell,,,,,,deler av lokaliteten,1834,LURØY,18,Nordland,66.3489,12.777717,8,Helgeland til Bodø,
33,2023,12435,Grøttingsøy,ikke-medikamentell,,,,,,deler av lokaliteten,5014,FRØYA,50,Trøndelag,63.879467,8.543083,6,Nordmøre og Sør-Trøndelag,
33,2023,33757,Håbranden,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,5014,FRØYA,50,Trøndelag,63.942,9.133483,6,Nordmøre og Sør-Trøndelag,
33,2023,19995,Hagahammaren,ikke-medikamentell,,,,,,deler av lokaliteten,1576,AURE,15,Møre og Romsdal,63.137917,8.0306,6,Nordmøre og Sør-Trøndelag,
33,2023,12895,Halsbukta,ikke-medikamentell,,,,,,deler av lokaliteten,1560,TINGVOLL,15,Møre og Romsdal,63.077866,8.143283,6,Nordmøre og Sør-Trøndelag,
33,2023,36617,Harbakholmen,ikke-medikamentell,,,,,,deler av lokaliteten,5060,NÆRØYSUND,50,Trøndelag,64.953316,11.195717,7,Nord-Trøndelag med Bindal,
33,2023,32417,Hjartholmosen,ikke-medikamentell,,,,,,hele lokaliteten,4625,AUSTEVOLL,46,Vestland,60.00458,5.2287,3,Karmøy til Sotra,
33,2023,13931,Hjartøy Ø,ikke-medikamentell,,,,,,deler av lokaliteten,1848,STEIGEN,18,Nordland,67.65652,15.121867,9,Vestfjorden og Vesterålen,
33,2023,35197,Hjortøya,ikke-medikamentell,,,,,,deler av lokaliteten,5060,NÆRØYSUND,50,Trøndelag,64.9848,11.135467,7,Nord-Trøndelag med Bindal,
33,2023,33957,Hofsøya,ikke-medikamentell,,,,,,deler av lokaliteten,5014,FRØYA,50,Trøndelag,63.7224,8.9145,6,Nordmøre og Sør-Trøndelag,
33,2023,30377,Hogsneset N,ikke-medikamentell,,,,,,deler av lokaliteten,1554,AVERØY,15,Møre og Romsdal,63.099934,7.670267,6,Nordmøre og Sør-Trøndelag,
33,2023,32757,Horgefjorden,ikke-medikamentell,,,,,,deler av lokaliteten,4625,AUSTEVOLL,46,Vestland,60.100834,5.117067,3,Karmøy til Sotra,
33,2023,13337,Hovdenakken,ikke-medikamentell,,,,,,deler av lokaliteten,5438,LEBESBY,54,Troms og Finnmark,70.81805,27.49395,12,Vest-Finnmark,
33,2023,18936,Igerøy Ø,ikke-medikamentell,,,,,,deler av lokaliteten,1815,VEGA,18,Nordland,65.6862,12.139167,8,Helgeland til Bodø,
33,2023,10876,Istervika,ikke-medikamentell,,,,,,deler av lokaliteten,1813,BRØNNØY,18,Nordland,65.446884,12.56175,8,Helgeland til Bodø,
