Uke,År,Lokalitetsnummer,Lokalitetsnavn,Tiltak,Type behandling,Virkestoff,ArtsId,Rensefisk,Antall,Omfang,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,Antall merder
33,2013,32277,Andholmen 1,rensefisk,,,1691,Berggylt,1642,deler av lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.469784,7.8556,6,Nordmøre og Sør-Trøndelag,
33,2013,30156,Anevik,medikamentell,fôrbehandling,Emamectin benzoat,,,,hele lokaliteten,1848,STEIGEN,18,Nordland,68.00592,15.264333,9,Vestfjorden og Vesterålen,
33,2013,29816,Apalvikneset,medikamentell,badebehandling,Deltamethrin,,,,deler av lokaliteten,1224,KVINNHERAD,12,Hordaland,60.145584,6.120467,3,Karmøy til Sotra,
33,2013,29816,Apalvikneset,ikke-medikamentell,,,,,,hele lokaliteten,1224,KVINNHERAD,12,Hordaland,60.145584,6.120467,3,Karmøy til Sotra,
33,2013,26795,Austvika,rensefisk,,,1694,Grøngylt,20,hele lokaliteten,1749,FLATANGER,17,Nord-Trøndelag,64.41853,10.696033,7,Nord-Trøndelag med Bindal,
33,2013,26795,Austvika,rensefisk,,,1693,Bergnebb,12483,hele lokaliteten,1749,FLATANGER,17,Nord-Trøndelag,64.41853,10.696033,7,Nord-Trøndelag med Bindal,
33,2013,22455,Bjørlykkestranda,rensefisk,,,1694,Grøngylt,2810,hele lokaliteten,1511,VANYLVEN,15,Møre og Romsdal,62.16655,5.5954,5,Stadt til Hustadvika,
33,2013,11754,Bøøy,medikamentell,badebehandling,Azamethiphos,,,,hele lokaliteten,1260,RADØY,12,Hordaland,60.72798,4.863417,4,Nordhordaland til Stadt,
33,2013,11754,Bøøy,medikamentell,badebehandling,Azamethiphos,,,,hele lokaliteten,1260,RADØY,12,Hordaland,60.72798,4.863417,4,Nordhordaland til Stadt,
33,2013,12040,Brandaskuta,rensefisk,,,1694,Grøngylt,16641,deler av lokaliteten,1224,KVINNHERAD,12,Hordaland,59.977615,5.912417,3,Karmøy til Sotra,
33,2013,15621,Breivika,medikamentell,badebehandling,Hydrogenperoksid,,,,hele lokaliteten,1836,RØDØY,18,Nordland,66.58036,13.015637,8,Helgeland til Bodø,
33,2013,10223,Bremnessvaet,medikamentell,badebehandling,Azamethiphos,,,,hele lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.39795,8.214317,6,Nordmøre og Sør-Trøndelag,
33,2013,10223,Bremnessvaet,medikamentell,badebehandling,Deltamethrin,,,,hele lokaliteten,1573,SMØLA,15,Møre og Romsdal,63.39795,8.214317,6,Nordmøre og Sør-Trøndelag,
33,2013,12237,Brudevika,rensefisk,,,1691,Berggylt,1000,deler av lokaliteten,1511,VANYLVEN,15,Møre og Romsdal,62.116566,5.420717,5,Stadt til Hustadvika,
33,2013,13841,Brunsvik,rensefisk,,,1693,Bergnebb,5586,deler av lokaliteten,1439,VÅGSØY,14,Sogn og Fjordane,61.910183,5.29085,4,Nordhordaland til Stadt,
33,2013,11543,Buholmen Ø,rensefisk,,,1692,Annen leppefisk,386,deler av lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.0216,5.07985,3,Karmøy til Sotra,
33,2013,11543,Buholmen Ø,rensefisk,,,1693,Bergnebb,190,deler av lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.0216,5.07985,3,Karmøy til Sotra,
33,2013,11543,Buholmen Ø,rensefisk,,,1694,Grøngylt,5075,deler av lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.0216,5.07985,3,Karmøy til Sotra,
33,2013,11543,Buholmen Ø,rensefisk,,,1691,Berggylt,486,deler av lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.0216,5.07985,3,Karmøy til Sotra,
33,2013,11857,Buksevika,rensefisk,,,1694,Grøngylt,1698,deler av lokaliteten,1004,FLEKKEFJORD,10,Vest-Agder,58.2074,6.63505,1,Svenskegrensen til Jæren,
33,2013,11857,Buksevika,rensefisk,,,1691,Berggylt,617,deler av lokaliteten,1004,FLEKKEFJORD,10,Vest-Agder,58.2074,6.63505,1,Svenskegrensen til Jæren,
33,2013,11076,Digermulen,rensefisk,,,1693,Bergnebb,43400,hele lokaliteten,1836,RØDØY,18,Nordland,66.67667,13.31555,8,Helgeland til Bodø,
33,2013,32197,Dryna,rensefisk,,,1691,Berggylt,179,deler av lokaliteten,1545,MIDSUND,15,Møre og Romsdal,62.6444,6.5568,5,Stadt til Hustadvika,
33,2013,13412,Dypeidet,medikamentell,badebehandling,Deltamethrin,,,,hele lokaliteten,1868,ØKSNES,18,Nordland,68.828964,14.7734,9,Vestfjorden og Vesterålen,
33,2013,13711,Dyvika,rensefisk,,,1691,Berggylt,260,deler av lokaliteten,1428,ASKVOLL,14,Sogn og Fjordane,61.478584,5.375967,4,Nordhordaland til Stadt,
33,2013,14041,Edøya,rensefisk,,,1693,Bergnebb,36346,deler av lokaliteten,1617,HITRA,16,Sør-Trøndelag,63.65835,8.694417,6,Nordmøre og Sør-Trøndelag,
33,2013,24575,Farmannsøya,rensefisk,,,1693,Bergnebb,7822,deler av lokaliteten,1632,ROAN,16,Sør-Trøndelag,64.18636,10.1201,6,Nordmøre og Sør-Trøndelag,
33,2013,11833,Flåtegrunnen,rensefisk,,,1694,Grøngylt,6067,deler av lokaliteten,1401,FLORA,14,Sogn og Fjordane,61.57615,4.807333,4,Nordhordaland til Stadt,
33,2013,11833,Flåtegrunnen,rensefisk,,,1691,Berggylt,924,deler av lokaliteten,1401,FLORA,14,Sogn og Fjordane,61.57615,4.807333,4,Nordhordaland til Stadt,
33,2013,19115,Fugløya S,medikamentell,badebehandling,Azamethiphos,,,,hele lokaliteten,1613,SNILLFJORD,16,Sør-Trøndelag,63.460682,9.1444,6,Nordmøre og Sør-Trøndelag,
33,2013,19115,Fugløya S,medikamentell,badebehandling,Deltamethrin,,,,hele lokaliteten,1613,SNILLFJORD,16,Sør-Trøndelag,63.460682,9.1444,6,Nordmøre og Sør-Trøndelag,
33,2013,13669,Furneset,rensefisk,,,1691,Berggylt,27,deler av lokaliteten,1535,VESTNES,15,Møre og Romsdal,62.6461,7.101183,5,Stadt til Hustadvika,
33,2013,13058,Fusavika,rensefisk,,,1694,Grøngylt,1506,hele lokaliteten,1241,FUSA,12,Hordaland,60.207634,5.613817,3,Karmøy til Sotra,
33,2013,11667,Gardskråneset,rensefisk,,,1694,Grøngylt,4250,hele lokaliteten,1259,ØYGARDEN,12,Hordaland,60.53972,4.903867,4,Nordhordaland til Stadt,
33,2013,11667,Gardskråneset,rensefisk,,,1693,Bergnebb,2000,hele lokaliteten,1259,ØYGARDEN,12,Hordaland,60.53972,4.903867,4,Nordhordaland til Stadt,
33,2013,10324,Gjerdeviksflua,rensefisk,,,1694,Grøngylt,3036,deler av lokaliteten,1241,FUSA,12,Hordaland,60.223083,5.641167,3,Karmøy til Sotra,
33,2013,13852,Gjermundnes,rensefisk,,,1691,Berggylt,206,hele lokaliteten,1535,VESTNES,15,Møre og Romsdal,62.6275,7.192817,5,Stadt til Hustadvika,
33,2013,13852,Gjermundnes,rensefisk,,,1694,Grøngylt,692,hele lokaliteten,1535,VESTNES,15,Møre og Romsdal,62.6275,7.192817,5,Stadt til Hustadvika,
33,2013,32037,Grasholman,rensefisk,,,1693,Bergnebb,724,deler av lokaliteten,1834,LURØY,18,Nordland,66.34873,12.779417,8,Helgeland til Bodø,
33,2013,18639,Halsavika,rensefisk,,,1694,Grøngylt,3559,hele lokaliteten,1146,TYSVÆR,11,Rogaland,59.39232,5.883333,2,Ryfylke,
33,2013,18639,Halsavika,rensefisk,,,1691,Berggylt,892,hele lokaliteten,1146,TYSVÆR,11,Rogaland,59.39232,5.883333,2,Ryfylke,
33,2013,30897,Havsundet,rensefisk,,,1694,Grøngylt,723,hele lokaliteten,1627,BJUGN,16,Sør-Trøndelag,63.799534,9.440667,6,Nordmøre og Sør-Trøndelag,
33,2013,30897,Havsundet,rensefisk,,,1693,Bergnebb,8190,hele lokaliteten,1627,BJUGN,16,Sør-Trøndelag,63.799534,9.440667,6,Nordmøre og Sør-Trøndelag,
33,2013,30897,Havsundet,rensefisk,,,1691,Berggylt,62,hele lokaliteten,1627,BJUGN,16,Sør-Trøndelag,63.799534,9.440667,6,Nordmøre og Sør-Trøndelag,
33,2013,10425,Heggvika,medikamentell,badebehandling,Azamethiphos,,,,hele lokaliteten,1811,BINDAL,18,Nordland,65.12658,12.071983,7,Nord-Trøndelag med Bindal,
33,2013,10425,Heggvika,medikamentell,badebehandling,Deltamethrin,,,,hele lokaliteten,1811,BINDAL,18,Nordland,65.12658,12.071983,7,Nord-Trøndelag med Bindal,
33,2013,10425,Heggvika,medikamentell,fôrbehandling,Emamectin benzoat,,,,deler av lokaliteten,1811,BINDAL,18,Nordland,65.12658,12.071983,7,Nord-Trøndelag med Bindal,
33,2013,10194,Hellaren,medikamentell,badebehandling,Deltamethrin,,,,hele lokaliteten,1545,MIDSUND,15,Møre og Romsdal,62.73575,6.744933,5,Stadt til Hustadvika,
33,2013,12590,Helligholmen,ikke-medikamentell,,,,,,deler av lokaliteten,1750,VIKNA,17,Nord-Trøndelag,64.83839,10.665517,7,Nord-Trøndelag med Bindal,
33,2013,14136,Hestholmen Ø,rensefisk,,,1691,Berggylt,850,deler av lokaliteten,1144,KVITSØY,11,Rogaland,59.061565,5.445683,2,Ryfylke,
33,2013,10300,Hillersvik,rensefisk,,,1691,Berggylt,50000,hele lokaliteten,1216,SVEIO,12,Hordaland,59.6084,5.311917,3,Karmøy til Sotra,
33,2013,10410,Hindholmen,medikamentell,badebehandling,Azamethiphos,,,,hele lokaliteten,1751,NÆRØY,17,Nord-Trøndelag,64.77393,11.44087,7,Nord-Trøndelag med Bindal,
33,2013,10410,Hindholmen,medikamentell,badebehandling,Deltamethrin,,,,hele lokaliteten,1751,NÆRØY,17,Nord-Trøndelag,64.77393,11.44087,7,Nord-Trøndelag med Bindal,
33,2013,17176,Holandselv,medikamentell,badebehandling,Cypermethrin,,,,hele lokaliteten,1911,KVÆFJORD,19,Troms,68.69912,15.978933,10,Andøya til Senja,
33,2013,12224,Isane,rensefisk,,,1694,Grøngylt,700,hele lokaliteten,1438,BREMANGER,14,Sogn og Fjordane,61.876534,5.722767,4,Nordhordaland til Stadt,
33,2013,12224,Isane,rensefisk,,,1691,Berggylt,600,hele lokaliteten,1438,BREMANGER,14,Sogn og Fjordane,61.876534,5.722767,4,Nordhordaland til Stadt,
33,2013,19977,Jektholmen,rensefisk,,,1693,Bergnebb,8707,hele lokaliteten,1630,ÅFJORD,16,Sør-Trøndelag,63.99495,9.928317,6,Nordmøre og Sør-Trøndelag,
33,2013,13242,Juvika B,rensefisk,,,1694,Grøngylt,656,deler av lokaliteten,1438,BREMANGER,14,Sogn og Fjordane,61.895683,5.6331,4,Nordhordaland til Stadt,
33,2013,13242,Juvika B,rensefisk,,,1691,Berggylt,950,deler av lokaliteten,1438,BREMANGER,14,Sogn og Fjordane,61.895683,5.6331,4,Nordhordaland til Stadt,
33,2013,31517,Kamholmen,rensefisk,,,1694,Grøngylt,2300,hele lokaliteten,1620,FRØYA,16,Sør-Trøndelag,63.762417,8.882933,6,Nordmøre og Sør-Trøndelag,
33,2013,31517,Kamholmen,rensefisk,,,1691,Berggylt,985,hele lokaliteten,1620,FRØYA,16,Sør-Trøndelag,63.762417,8.882933,6,Nordmøre og Sør-Trøndelag,
33,2013,14042,Kattholmen,rensefisk,,,1691,Berggylt,12,deler av lokaliteten,1620,FRØYA,16,Sør-Trøndelag,63.870968,8.679017,6,Nordmøre og Sør-Trøndelag,
33,2013,14042,Kattholmen,rensefisk,,,1693,Bergnebb,470,deler av lokaliteten,1620,FRØYA,16,Sør-Trøndelag,63.870968,8.679017,6,Nordmøre og Sør-Trøndelag,
33,2013,31477,Kilavågen Sjø,medikamentell,badebehandling,Deltamethrin,,,,deler av lokaliteten,1134,SULDAL,11,Rogaland,59.318,6.287483,2,Ryfylke,
33,2013,10409,Kjelneset,medikamentell,badebehandling,Azamethiphos,,,,deler av lokaliteten,1748,FOSNES,17,Nord-Trøndelag,64.64395,11.388328,7,Nord-Trøndelag med Bindal,
33,2013,10409,Kjelneset,medikamentell,badebehandling,Deltamethrin,,,,deler av lokaliteten,1748,FOSNES,17,Nord-Trøndelag,64.64395,11.388328,7,Nord-Trøndelag med Bindal,
33,2013,24455,Klavelandet,medikamentell,badebehandling,Deltamethrin,,,,hele lokaliteten,1401,FLORA,14,Sogn og Fjordane,61.60395,5.186533,4,Nordhordaland til Stadt,
33,2013,18755,Klungset,rensefisk,,,2221,Rognkjeks (felles),24582,deler av lokaliteten,1751,NÆRØY,17,Nord-Trøndelag,64.74997,11.394183,7,Nord-Trøndelag med Bindal,
33,2013,18755,Klungset,rensefisk,,,1693,Bergnebb,26269,deler av lokaliteten,1751,NÆRØY,17,Nord-Trøndelag,64.74997,11.394183,7,Nord-Trøndelag med Bindal,
33,2013,11763,Knappen,rensefisk,,,1691,Berggylt,8000,deler av lokaliteten,1259,ØYGARDEN,12,Hordaland,60.5735,4.818517,4,Nordhordaland til Stadt,
33,2013,12239,Kråknes,rensefisk,,,1694,Grøngylt,5253,deler av lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.8316,6.962767,5,Stadt til Hustadvika,
33,2013,12239,Kråknes,rensefisk,,,1691,Berggylt,2211,deler av lokaliteten,1547,AUKRA,15,Møre og Romsdal,62.8316,6.962767,5,Stadt til Hustadvika,
33,2013,14040,Krigsholmen,rensefisk,,,1694,Grøngylt,1000,hele lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.081383,5.124117,3,Karmøy til Sotra,
33,2013,14040,Krigsholmen,rensefisk,,,1691,Berggylt,500,hele lokaliteten,1244,AUSTEVOLL,12,Hordaland,60.081383,5.124117,3,Karmøy til Sotra,
