County,Sex,Age,Age_num,County_code,County_name,Year,Population
F-15 Møre og Romsdal,F,66 years,66,F-15,Møre og Romsdal,2015,1478
F-15 Møre og Romsdal,F,67 years,67,F-15,Møre og Romsdal,2015,1470
F-15 Møre og Romsdal,F,68 years,68,F-15,Møre og Romsdal,2015,1462
F-15 Møre og Romsdal,F,69 years,69,F-15,Møre og Romsdal,2015,1354
F-15 Møre og Romsdal,F,70 years,70,F-15,Møre og Romsdal,2015,1303
F-15 Møre og Romsdal,F,71 years,71,F-15,Møre og Romsdal,2015,1161
F-15 Møre og Romsdal,F,72 years,72,F-15,Møre og Romsdal,2015,1063
F-15 Møre og Romsdal,F,73 years,73,F-15,Møre og Romsdal,2015,963
F-15 Møre og Romsdal,F,74 years,74,F-15,Møre og Romsdal,2015,886
F-15 Møre og Romsdal,F,75 years,75,F-15,Møre og Romsdal,2015,904
F-15 Møre og Romsdal,F,76 years,76,F-15,Møre og Romsdal,2015,788
F-15 Møre og Romsdal,F,77 years,77,F-15,Møre og Romsdal,2015,802
F-15 Møre og Romsdal,F,78 years,78,F-15,Møre og Romsdal,2015,763
F-15 Møre og Romsdal,F,79 years,79,F-15,Møre og Romsdal,2015,746
F-15 Møre og Romsdal,F,80 years,80,F-15,Møre og Romsdal,2015,727
F-15 Møre og Romsdal,F,81 years,81,F-15,Møre og Romsdal,2015,733
F-15 Møre og Romsdal,F,82 years,82,F-15,Møre og Romsdal,2015,727
F-15 Møre og Romsdal,F,83 years,83,F-15,Møre og Romsdal,2015,658
F-15 Møre og Romsdal,F,84 years,84,F-15,Møre og Romsdal,2015,708
F-15 Møre og Romsdal,F,85 years,85,F-15,Møre og Romsdal,2015,637
F-15 Møre og Romsdal,F,86 years,86,F-15,Møre og Romsdal,2015,643
F-15 Møre og Romsdal,F,87 years,87,F-15,Møre og Romsdal,2015,566
F-15 Møre og Romsdal,F,88 years,88,F-15,Møre og Romsdal,2015,513
F-15 Møre og Romsdal,F,89 years,89,F-15,Møre og Romsdal,2015,474
F-15 Møre og Romsdal,F,90 years,90,F-15,Møre og Romsdal,2015,419
F-15 Møre og Romsdal,F,91 years,91,F-15,Møre og Romsdal,2015,352
F-15 Møre og Romsdal,F,92 years,92,F-15,Møre og Romsdal,2015,296
F-15 Møre og Romsdal,F,93 years,93,F-15,Møre og Romsdal,2015,251
F-15 Møre og Romsdal,F,94 years,94,F-15,Møre og Romsdal,2015,197
F-15 Møre og Romsdal,F,95 years,95,F-15,Møre og Romsdal,2015,149
F-15 Møre og Romsdal,F,96 years,96,F-15,Møre og Romsdal,2015,110
F-15 Møre og Romsdal,F,97 years,97,F-15,Møre og Romsdal,2015,61
F-15 Møre og Romsdal,F,98 years,98,F-15,Møre og Romsdal,2015,62
F-15 Møre og Romsdal,F,99 years,99,F-15,Møre og Romsdal,2015,30
F-15 Møre og Romsdal,F,100 years,100,F-15,Møre og Romsdal,2015,23
F-15 Møre og Romsdal,F,101 years,101,F-15,Møre og Romsdal,2015,14
F-15 Møre og Romsdal,F,102 years,102,F-15,Møre og Romsdal,2015,10
F-15 Møre og Romsdal,F,103 years,103,F-15,Møre og Romsdal,2015,2
