measure,region,offencegroup,year,value,measurecode
Offences reported per 1000 population,Trøndelag,Sexualoffences,2018,1.2,rate_per_1000
Offences reported per 1000 population,Trøndelag,Sexualoffences,2019,1.4,rate_per_1000
Offences reported per 1000 population,Trøndelag,Sexualoffences,2020,1.5,rate_per_1000
Offences reported per 1000 population,Trøndelag,Sexualoffences,2021,1.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Sexualoffences,2022,1.8,rate_per_1000
Offences reported per 1000 population,Trøndelag,Sexualoffences,2023,1.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Sexualoffences,2024,1.5,rate_per_1000
Offences reported per 1000 population,Trøndelag,Sexualoffences,2025,1.5,rate_per_1000
Offences reported per 1000 population,Trøndelag,Trafficoffences,2016,9.1,rate_per_1000
Offences reported per 1000 population,Trøndelag,Trafficoffences,2017,8.4,rate_per_1000
Offences reported per 1000 population,Trøndelag,Trafficoffences,2018,8.6,rate_per_1000
Offences reported per 1000 population,Trøndelag,Trafficoffences,2019,8.0,rate_per_1000
Offences reported per 1000 population,Trøndelag,Trafficoffences,2020,8.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Trafficoffences,2021,8.2,rate_per_1000
Offences reported per 1000 population,Trøndelag,Trafficoffences,2022,8.1,rate_per_1000
Offences reported per 1000 population,Trøndelag,Trafficoffences,2023,7.7,rate_per_1000
Offences reported per 1000 population,Trøndelag,Trafficoffences,2024,7.4,rate_per_1000
Offences reported per 1000 population,Trøndelag,Trafficoffences,2025,6.4,rate_per_1000
Offences reported per 1000 population,Trøndelag,Violenceandmaltreatment,2016,5.1,rate_per_1000
Offences reported per 1000 population,Trøndelag,Violenceandmaltreatment,2017,5.7,rate_per_1000
Offences reported per 1000 population,Trøndelag,Violenceandmaltreatment,2018,5.4,rate_per_1000
Offences reported per 1000 population,Trøndelag,Violenceandmaltreatment,2019,5.6,rate_per_1000
Offences reported per 1000 population,Trøndelag,Violenceandmaltreatment,2020,5.7,rate_per_1000
Offences reported per 1000 population,Trøndelag,Violenceandmaltreatment,2021,5.9,rate_per_1000
Offences reported per 1000 population,Trøndelag,Violenceandmaltreatment,2022,6.3,rate_per_1000
Offences reported per 1000 population,Trøndelag,Violenceandmaltreatment,2023,6.3,rate_per_1000
Offences reported per 1000 population,Trøndelag,Violenceandmaltreatment,2024,7.2,rate_per_1000
Offences reported per 1000 population,Trøndelag,Violenceandmaltreatment,2025,7.3,rate_per_1000
